"Sample","Reactor","Time","Phase","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80"
"20191010L1","L1",1,"Closing-I",2675483.19733605,3826655.89955369,246112.380366968,3199464.90527981,389017.05860752,1575915.13828346,3953681.31208748,512073.248791004,6811764.57957452,2973200.22086807,8693335.97819246,666886.38618432,18132949.1263901,456499.383275644,293747.801181716,1829966.75545288,8336075.86679477,293747.801181716,1444919.71129751,4914314.70735167,317564.719487244,6192513.61420495,877272.59699115,353290.889047382,21122027.8208631,1456828.17045028,4279185.26837718,47634.7079230866,178630.055698844,4787289.29481788,305656.26033448,254051.617169426,51604.247114131,22166022.0144003,91300.035075498,4108494.4494808,190538.514851608,15155779.6831718,1448889.72574967,12512052.6409437,254051.617169426,8760818.30286058,19057856.3520942,25170979.1824782,32260613.0896296,12952673.5506144,7589798.69678956,166721.59654608,1548128.20552578,3715508.16852297,1305985.04750911,29291382.0911118,66982352.3592343,56963183.6375775,80768633.8925792,1198807.33093055,1655306.71420619,7085664.68480102,1421102.79299199,10320855.759641,22356561.3213538,654977.13492971,3163739.52782152,63512.9438974488,14278507.0861806,127026.204635636,23817.3935666356,55573.86551536,27786.93275768,13524290.6793729,15294714.3469601,16783298.6725184,20991032.3938772,6021822.00320672,127026.204635636,523981.707943768,17116741.8656106,496194.775186088,31883504.4901748,178630.055698844
"20191011L1","L1",2,"Closing-I",6548423.01176852,5578415.49090928,220615.226755164,4118152.53284915,1649361.82385555,1638856.3702023,7420378.46513593,626827.734766953,8621505.96636668,4191690.7084219,11415967.1386848,8337858.01769201,29408371.3655223,1975032.28718012,1978533.8717189,3396775.71520293,5960115.50707579,13457533.7323233,1530299.54909411,10554516.4389338,658344.095726706,5511881.18445099,1330695.22964545,504263.875466727,20601268.117899,1194124.33215319,4517361.17174647,49025.6137237797,1092571.38015946,5567910.03725603,570798.181925019,409714.092550575,213611.357640699,15663686.6999118,143574.766606728,2507310.23903092,63032.9319305739,15534119.671534,2346226.14965648,7966664.15521566,266139.325943847,11366941.4549574,17229004.8945413,17330558.5465719,20821883.3446541,11111307.5826668,7084202.54815811,367692.277937571,4927075.26429704,4832526.18141778,1890988.65795411,23998043.133065,50601447.8726159,42561245.5418275,55735131.3254761,3274211.15586581,714373.64856864,4801009.12042114,4177683.67022986,10169315.5382654,13345475.3266763,777406.370488146,2230666.15947071,140073.182067942,9591513.48722592,52527.4782773229,42021.9546203826,17509.1827603374,66534.7964841171,10799644.8575711,10645563.9372743,12298428.0457055,13926778.9622546,4639925.0310467,241626.134061666,266139.325943847,12021783.2661084,220615.226755164,24176636.5452072,325670.463324567
"20191014L1","L1",5,"Closing-I",11932281.4011477,4564428.46845944,3843480.19276186,772951.038424784,2928703.5670781,2434677.08417519,706765.574774969,2907429.98968324,10726761.3025066,13272535.2625975,6798185.37819809,12218296.8331418,9261227.86421851,1666453.61272461,1217338.5420876,2351945.13611566,6590174.3272893,12100108.6067648,43843096.3610831,5859771.39163237,1560084.30378312,4427329.97418561,1096786.53222348,26561617.0096047,2354308.91960276,4859899.03440197,569667.080501133,330926.844260006,2013926.94139434,6904555.16112865,2236120.69322575,7304031.25252558,297834.349429633,1042419.98600918,172554.772591312,846227.378546839,416022.575806645,1817734.80792107,4923720.71456468,9632338.5537702,964415.604923851,2786877.97981913,1973743.09610266,1685363.88062144,2143934.08520687,3696927.03852868,24365680.1616706,6897463.81066734,6840733.48096594,4630613.93210926,36371238.3769295,1032964.85206077,1656998.4787762,1361527.91283367,1427713.37648349,5611576.02144283,19207947.2518281,6214335.59677434,1782278.05561452,2999616.59770212,548393.503106275,32700312.4827699,676036.38944263,6490896.36880911,527119.451722348,208011.050908788,179646.123052621,113460.659402806,1926467.90034967,3311633.64805437,732766.719144033,716220.708723381,919504.192657963,1297706.70666003,775314.821911887,371111.163540757,884047.914340487,333290.627747109,6857279.49138659,1508081.54105592
"20191016L1","L1",7,"Closing-I",2729430.95042545,648316.191951792,6735170.08473036,337368.33633048,790579.879407864,1981530.34047478,235751.416719,636121.998378048,953166.950786232,7466811.90593302,1520189.19899792,1686840.86555057,1825039.95783236,317044.952408184,333303.333105288,274365.682950996,5127590.25325638,2105502.73757023,50180472.7104233,7287966.45385754,845452.93438788,2489614.93853218,203233.83922296,39146906.5180764,1239726.41926006,1323052.45656184,290624.471699016,747900.609950676,304850.75883444,3993545.34878208,995845.812192504,18610124.6162908,412564.775232792,904390.584542172,128037.400320648,530440.483592292,888131.795794152,1231597.2289115,1160465.38518347,8739055.90268911,2016080.0115325,4810545.70889911,4607311.46162524,1985594.93564905,1601482.73468711,3723244.26100536,4838998.28316996,4912162.62851059,784482.782620992,871873.415097048,57748901.9440187,845452.93438788,1664485.38806659,971457.833095932,2113632.3359697,2333124.55588976,31446375.2889861,1294599.88229099,262171.489377252,3749664.74171453,987716.621843952,23044687.7226275,288591.97008642,8940257.64835039,668639.575874088,1274276.49836869,2314833.67358006,678801.267835236,581248.943398032,1369796.3211933,357691.720252776,300786.163660164,530440.483592292,595475.230533456,1798619.4771232,469470.331825404,749933.111563272,317044.952408184,5877523.36481965,3398070.11824862
"20191017L1","L1",8,"Closing-I",7821349.2819558,2017783.17550973,17910265.1595044,608847.233740272,2029491.56466857,2845191.1963981,222463.3216896,2228538.10804049,2470515.67350626,12258911.2542606,2548573.4341453,7602788.4948077,1904600.24739418,1245015.35140838,1428450.18554563,706419.23815548,8836095.45705725,8289693.48918701,80867444.1127358,16641833.0297784,2747619.97751722,3489165.16868354,870339.828516552,65915553.077745,3547707.90001207,2006074.78635089,245880.885541608,2642242.11848467,722030.947390152,8761941.01649405,1580661.60121354,27121036.1394535,1096706.47028198,3028626.03053534,320035.326104808,522984.404018232,1346489.8903651,2646145.4385605,2669562.21687818,11415891.5241376,5120563.64660827,13324394.3060732,13866892.9538676,8547282.76388746,4168264.30844551,4613190.95182471,3075460.37270503,13781030.1241456,733739.336548992,2111451.8598491,105240860.274672,2856900.37109126,5440598.97271308,2119257.71446644,6997843.79560894,5050312.5261209,45058621.3973515,2181703.7658708,210754.93253076,8711203.35424853,3364273.06587482,52454558.2797042,1397226.76707629,14054231.1080807,2568087.67792147,1678233.60562874,2661756.36226085,917174.17068624,1447964.42932181,2049005.80844474,1373809.98875861,1713359.55863959,2302692.54860369,2646145.4385605,2349526.89077338,1151346.66706901,3391593.16426834,1213791.93293904,13285365.8185209,4741985.58917494
"20191021L1","L1",12,"Closing-I",20348504.0113023,26863262.1027593,54485230.9501807,804228.723846036,3737893.04719175,2164841.92100448,773880.73772346,106218.964514412,19382417.6729935,9817659.622912,9296681.47110439,62052062.0160173,3044941.62324235,4117245.91298014,9291623.13572216,3348423.5106389,11486814.0559346,96355704.9047406,38653559.0591758,6676615.70591969,465339.501859284,6271972.17630556,1765256.72677258,74757863.9830911,1411193.51172454,268076.578977144,414759.187293192,10116.0831749263,7566831.06583662,6302320.16242813,2397512.17847682,15599002.6466179,1345439.20409716,1036898.98131838,409701.86499636,136566.950636988,35406.321504804,3970563.30466409,6433829.79076829,9928936.92280864,62057120.3513995,11370479.4337411,3039883.28786012,3530513.45354515,930680.016803964,1719734.74758871,667661.773209048,3823879.68326264,1512354.14085672,5867328.64669142,36352149.174449,1345439.20409716,1482006.15473414,1947346.66967882,1198755.58269571,2260945.22783983,32224787.6037898,293366.229717492,1208872.25346017,6656383.37747617,374295.543491556,159040022.372462,455223.844180224,30328021.248677,354063.21504804,91044.7688360448,5058.04158746316,5058.04158746316,20232.1258264368,369237.208109328,328772.551222296,404643.529614132,1618573.10537113,799170.388463808,1871475.69128699,30348.2900481948,657545.102444592,136566.950636988,11785238.6210343,4344857.83507025
"20191022L1","L1",13,"Closing-I",25765023.2520501,14913024.5475046,5613952.3722077,7314777.37140062,11948907.6255537,3783718.37165393,2446475.97972924,1534439.52905414,15442991.3907171,14654204.0763938,9255935.84150995,14487818.606255,4658779.58774566,1898020.90212782,4141137.41132947,3389324.09739502,26227204.427883,34127409.6430793,133385299.74782,66899091.1282341,4720404.15592157,11104656.8422581,1411191.62689687,81448533.0684705,3629657.56831142,1947320.80350746,1380378.72571164,30812.0372490456,3660469.2353021,10161808.7245924,5096310.19579152,10858161.0379436,264984.038703504,2298577.50978487,98598.568564728,443692.941444,24649.5804314544,9249773.50811182,7049793.33269712,19319145.9975376,1645362.76441514,4406121.45003298,1953483.1369056,7339426.70499317,3765230.13726497,3598845.90132074,3432460.43118197,24359995.1927459,1799422.3335631,3956264.94099629,263264189.829487,2107542.70605355,2575886.21528465,3124340.05869151,2557399.21509024,4326009.88166266,20261994.1152034,2218465.94141455,1515952.52885974,5065498.52880084,1121558.25460082,84917968.7342358,3118177.72529338,21660861.075304,1146207.58819337,43136.8274647728,12324.8148996182,92436.1117471368,36974.4940666368,2045919.37207219,1349567.05872096,2378689.07815519,9810552.01831495,5003873.96062493,511479.843018048,98598.568564728,2409500.74514587,517642.176416184,38767702.2306306,1503627.86206346
"20191023L1","L1",14,"Closing-I",15519830.2485156,2702371.5407808,51015220.8231456,36276589.5901164,21566893.2413508,2389891.2395652,3281037.950106,15080044.1017716,10583807.0395932,9333886.9930992,3836557.8420624,15409883.7118296,5370023.3055084,1469811.9614976,1915385.316768,1082106.0580176,16289456.0053176,156737552.840392,43619865.6641832,4253197.4714376,190959.3474768,8564261.2362972,543946.633272,157547685.581773,3338904.243528,17637748.1714448,9617433.5684196,69439.89961692,11341859.5377108,7227542.3288544,3292611.2087904,54955937.9933676,1620265.4827632,2135278.39014,127307.0038968,4172183.5022784,57866.64093252,7835141.3057064,4762423.170288,12024685.2751956,44574664.718304,7997168.0856564,3738184.5640608,2661864.5562012,3518291.4906888,2632931.9886744,4710344.0853924,318266.3513736,1776505.0541868,2279944.7028792,65308277.542536,2551918.0195152,3477784.5061092,3923357.8613796,2656078.5060432,3304184.4674748,19356388.090578,1545038.7221304,1672345.7260272,34563738.037878,1001093.2472268,21757852.5888276,954799.0541208,24078304.2762864,798559.4826972,63653.27027472,173600.0386344,329839.610058,2673437.8148856,1886451.5908728,1111039.7839128,1290425.8727052,2893332.046626,3240530.9655264,1487172.4287084,532373.3745876,1492958.4788664,312480.3012156,23488064.6082768,3327330.9848436
"20191024L1","L1",15,"Closing-I",5875761.767535,2401646.569245,34301899.96002,71684295.62481,19293036.34995,998308.899225,2452987.744515,22687286.607315,4974431.15268,5984149.32918,3080496.849705,14911885.3257,4945908.53196,889921.33758,1346291.283645,661735.79208,11928366.760365,156118424.82885,40171956.51645,7524398.3265,131206.116195,4318399.42677,205366.99095,163283431.493655,1528838.57511,27633195.139275,17062527.794895,193957.713675,9834770.677545,2743923.74256,1266426.34272,46994686.00794,1049651.21943,1021127.453775,85569.3505755,4540879.761165,975490.344675,3656663.63469,4352627.258595,9064646.178885,21637636.53282,6132469.933755,1871116.89336,2954994.79968,2110710.5712,1346291.283645,4398264.367695,576166.784985,1021127.453775,1711387.01151,93692731.951665,1095287.183595,2008027.075725,1842593.127705,1300654.174545,1043946.008325,23143656.55338,1488906.677115,1437565.501845,15778988.10873,410732.836965,32904266.35617,3337205.015925,39784042.234035,308049.34149,576166.784985,964081.0674,376505.00514,3445592.57757,1129515.01542,564757.50771,536234.88699,4061691.26055,7404601.48758,1095287.183595,427846.18041,747305.94411,3616730.59176,16440723.90081,2789560.85166
"20191025L1","L1",16,"Closing-I",1559162.36091,3058884.75398,35810442.8253,1479146.772565,717854.777695,299487.19163,274339.618795,539534.41542,4389431.14819,2098696.77633,1600313.60192,3141186.777245,1154512.0081,626408.391015,1463143.563145,743002.809285,5470785.955195,11721153.090845,21286454.95493,4025931.577635,57153.991675,1399131.18422,242333.199955,88634503.87561,553251.18992,795584.389875,1090499.17042,11430.798335,1108788.81476,848165.970465,242333.199955,17089061.40227,416081.6099,214899.1922,6858.479001,898461.57489,66298.813845,841307.583215,1785492.8102,4581468.74372,16666121.40512,3106894.38224,1534014.788075,1360266.37813,861883.20372,379502.779975,1675756.77918,925895.582645,379502.779975,1243671.95986,47458438.71505,413795.17498,564681.988255,582971.17384,443515.617655,134883.603855,16067147.02186,628694.36718,153172.78944,4197393.55266,267480.77279,38777881.1926,786439.567705,33967796.023425,185179.20828,269767.20771,1097358.016425,105163.619935,27433.9618795,452659.98107,169175.99886,237760.78887,1371697.176465,1714621.58527,882458.36547,86873.975595,242333.199955,240047.22379,12596753.069065,1794637.173615
