"Sample","Reactor","Time","Phase","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79","G80","OD","pH","EC","CODt","CODs","CODb","Ammonium","PHOs","PHOt","Dry_weight","Cell_number"
"20191009preculture","PRE",0,"Original",0.012285616,0.033795464,0.007560764,0.000951985,0.011138223,0.002294785,0.000831734,8.01671e-05,0.010982899,0.008177049,0.006308152,0.056086941,0.003036331,0.008592916,0.003372031,0.005316084,0.011248453,0.018002535,0.009169118,0.012295636,0.011308578,0.007490618,0.007280179,0.008262227,0.022361624,0.000300627,0.000320669,5.01045e-05,0.002480171,0.021409639,0.00336702,0.006127776,0.01177455,0.017451386,0.004604601,0.000150313,5.51149e-05,0.057434751,0.003722762,0.016449297,0.005651784,0.028439296,0.023278536,0.015893137,0.008342394,0.01076745,0.001548228,0.005476418,0.0020142,0.003412114,0.012666409,0.052003427,0.055465646,0.035980018,0.019375398,0.002334868,0.004349068,0.001202507,0.000791651,0.013187496,0.008016715,0.01648938,0.000430898,0.001628395,0.004564517,3.50731e-05,0,2.50522e-05,8.01671e-05,0.002780798,0.003316916,0.002770777,0.002445098,0.000385804,0.006092703,3.00627e-05,0.007826318,0.000130272,0.020202121,0.005566606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20191010L1","L1",1,"Closing-I",0.003377701,0.004831015,0.000310708,0.004039209,0.00049112,0.001989536,0.00499138,0.000646474,0.008599607,0.003753558,0.010975023,0.00084192,0.022892194,0.000576314,0.000370846,0.002310267,0.010523995,0.000370846,0.001824159,0.006204145,0.000400914,0.007817825,0.001107525,0.000446017,0.026665798,0.001839193,0.005402317,6.01371e-05,0.000225514,0.00604378,0.00038588,0.000320731,6.51485e-05,0.027983803,0.000115263,0.005186826,0.000240548,0.019133625,0.001829171,0.015796015,0.000320731,0.011060217,0.024059856,0.031777453,0.04072786,0.016352283,0.009581847,0.00021048,0.001954456,0.004690695,0.001648759,0.036979313,0.084562803,0.071913964,0.101967486,0.001513451,0.002089765,0.008945396,0.001794091,0.013029708,0.028224352,0.000826885,0.003994107,8.01828e-05,0.0180261,0.000160366,3.00686e-05,7.016e-05,3.508e-05,0.017073929,0.019309025,0.021188309,0.026500421,0.007602333,0.000160366,0.000661508,0.021609269,0.000626428,0.040251774,0.000225514,0.593333333,7.873333333,1064.666667,1038,NA,NA,13,48.80785618,54.64308644,NA,792101846
"20191011L1","L1",2,"Closing-I",0.009354397,0.007968745,0.000315148,0.005882765,0.002356107,0.0023411,0.010599982,0.000895421,0.012315788,0.005987814,0.016307665,0.011910598,0.042009745,0.002821326,0.002826328,0.004852281,0.008514002,0.019224035,0.002186027,0.015077086,0.000940442,0.007873701,0.001900893,0.000720339,0.029428832,0.001705802,0.006453033,7.00329e-05,0.001560734,0.007953738,0.000815383,0.000585275,0.000305143,0.022375516,0.000205096,0.003581683,9.00423e-05,0.02219043,0.003351575,0.011380349,0.000380179,0.016237632,0.024611567,0.024756636,0.02974398,0.01587246,0.010119756,0.000525247,0.007038308,0.006903245,0.00270127,0.034281112,0.072283973,0.060798575,0.07961742,0.004677198,0.00102048,0.006858223,0.005967805,0.014526828,0.01906396,0.001110522,0.003186498,0.000200094,0.01370144,7.50353e-05,6.00282e-05,2.50118e-05,9.50447e-05,0.015427251,0.015207147,0.017568257,0.01989435,0.006628115,0.000345162,0.000380179,0.017173071,0.000315148,0.034536232,0.000465219,0.398666667,8.243333333,1242,2133,1560,573,35,52.38136929,59.34745812,NA,700036893
"20191012L1","L1",3,"Closing-I",0.044897531,0.00848414,0.000774009,0.015629994,0.028019136,0.017178012,0.004753915,0.004089765,0.055244287,0.056572587,0.05324185,0.04384388,0.016364054,0.004209612,0.005682726,0.005557886,0.008464166,0.079697987,0.007949824,0.013647531,0.001562999,0.031929131,0.002351989,0.00308605,0.014081975,0.006232023,0.006721397,6.49169e-05,0.013952141,0.037621844,0.010027165,0.00199245,0.000379514,0.007904882,9.48786e-05,0.004883749,7.49041e-05,0.012798618,0.043284596,0.005622803,0.000229706,0.004024848,0.003680289,0.006187081,0.009592721,0.021632311,0.010306807,0.00145314,0.007435483,0.054240572,0.009447907,0.005333174,0.009158277,0.007610259,0.010366731,0.033347315,0.002521772,0.00315596,0.00229706,0.003670302,0.00387504,0.001797699,0.000803971,0.001043664,0.0026566,4.49425e-05,1.99744e-05,4.99361e-05,0.000279642,0.00496864,0.003016139,0.002881312,0.003111018,0.00157798,0.000314597,0.000619207,0.004439318,0.000189757,0.010701302,0.000858901,0.335666667,7.87,1235,730,127.5,602.5,NA,NA,NA,NA,NA
"20191013L1","L1",4,"Closing-I",0.018715926,0.003866434,0.014307794,0.00153564,0.007121594,0.003866434,0.000904487,0.000869699,0.011286211,0.021508903,0.009521964,0.0189992,0.002996735,0.001416367,0.001152973,0.001774186,0.010744512,0.019709868,0.181006764,0.009044872,0.001207639,0.005879166,0.000924366,0.071046969,0.001948126,0.001495883,0.000606305,0.00050691,0.003558312,0.008249718,0.004129829,0.044707508,0.000944245,0.001038669,0.00017891,0.001808974,0.000581456,0.001804005,0.010500996,0.021896541,0.00188849,0.003866434,0.001868611,0.001640004,0.002857583,0.003637827,0.005426923,0.006783654,0.001848732,0.0083839,0.117946118,0.0013617,0.002166793,0.00222643,0.002022672,0.00976051,0.088286891,0.0143724,0.000750426,0.012886457,0.000824972,0.033794025,0.002867522,0.023054483,0.000646062,0.001083397,0.001103276,0.002340733,0.000362789,0.002892371,0.001287155,0.002176733,0.001336852,0.004239162,0.001297094,0.000939275,0.001461095,0.001262306,0.006033227,0.003747161,0.319333333,8.003333333,1276.666667,532,106,426,NA,NA,NA,NA,NA
"20191014L1","L1",5,"Closing-I",0.02517417,0.009629818,0.008108795,0.001630736,0.006178842,0.005136568,0.001491101,0.00613396,0.02263082,0.028001775,0.014342494,0.025777592,0.019538906,0.003515806,0.002568284,0.004962024,0.013903642,0.025528244,0.092498117,0.012362672,0.003291393,0.009340574,0.002313949,0.056038459,0.004967011,0.010253188,0.001201857,0.000698174,0.004248889,0.014566908,0.004717663,0.015409704,0.000628357,0.002199249,0.000364048,0.001785331,0.000877705,0.003834972,0.010387836,0.020321858,0.002034679,0.005879625,0.004164111,0.003555702,0.004523172,0.007799604,0.051405574,0.014551947,0.01443226,0.009769453,0.07673434,0.002179301,0.003495858,0.002872488,0.003012123,0.011839041,0.04052403,0.013110715,0.003760167,0.006328451,0.001156975,0.068989592,0.00142627,0.01369419,0.001112092,0.000438852,0.000379009,0.000239374,0.004064372,0.00698673,0.001545957,0.001511049,0.001939927,0.002737841,0.001635723,0.000782953,0.001865123,0.000703161,0.014467168,0.00318168,0.298666667,7.99,1268,514,119,395,38.5,56.81433491,62.6405183,NA,473989069
"20191015L1","L1",6,"Closing-I",0.023930644,0.007702847,0.006392467,0.005306295,0.006382502,0.010388381,0.00911786,0.005749732,0.006880745,0.028355048,0.008330635,0.015724571,0.02406517,0.002675569,0.001788695,0.002526096,0.014977205,0.020263571,0.082135472,0.016471936,0.004255001,0.015360853,0.001803642,0.057422585,0.005181734,0.007598216,0.002710446,0.001265539,0.002142448,0.016815725,0.004339703,0.01699011,0.000602875,0.004693456,0.000378665,0.006272888,0.000986523,0.006631624,0.00550061,0.02289928,0.002052764,0.0076879,0.006512045,0.005366085,0.005515558,0.01067238,0.034433621,0.020657183,0.014468997,0.004872823,0.095478439,0.002869884,0.004593807,0.003587355,0.004379562,0.010732169,0.035425126,0.004917665,0.012964301,0.007334147,0.001823572,0.067013776,0.001609327,0.013467527,0.001494731,0.00075733,0.000812137,0.000234175,0.00312897,0.003906231,0.001639222,0.001474801,0.002700481,0.002620762,0.001713958,0.003786652,0.002037817,0.000503226,0.01932189,0.003487706,0.351666667,7.946666667,1234.666667,579,119,460,16,57.44761571,70.92744995,NA,NA
"20191016L1","L1",7,"Closing-I",0.006688947,0.001588812,0.01650571,0.00082678,0.001937454,0.004856086,0.00057775,0.001558928,0.002335902,0.018298726,0.003725489,0.004133898,0.004472579,0.000776974,0.000816818,0.000672381,0.012566055,0.005159902,0.122976008,0.017860434,0.00207193,0.006101236,0.00049806,0.095936328,0.003038166,0.003242371,0.000712226,0.001832861,0.00074709,0.00978688,0.002440494,0.045607359,0.001011062,0.002216367,0.000313778,0.001299937,0.002176522,0.003018244,0.002843923,0.021416582,0.004940756,0.011789082,0.011291021,0.004866047,0.003924713,0.00912446,0.01185881,0.012038112,0.001922512,0.002136678,0.141523765,0.00207193,0.004079112,0.002380727,0.005179825,0.005717729,0.077064832,0.003172643,0.000642497,0.009189208,0.002420572,0.05647503,0.000707245,0.021909662,0.001638618,0.003122837,0.005672904,0.001663521,0.001424452,0.003356925,0.000876586,0.000737129,0.001299937,0.001459316,0.004407831,0.001150519,0.001837842,0.000776974,0.014403897,0.008327564,0.359666667,7.863333333,1218.666667,NA,NA,NA,NA,NA,NA,NA,408050916
"20191017L1","L1",8,"Closing-I",0.009956725,0.002568676,0.022800105,0.000775074,0.002583581,0.003621982,0.0002832,0.002836971,0.003145013,0.015605825,0.003244382,0.009678493,0.002424592,0.001584928,0.001818444,0.000899285,0.011248516,0.010552936,0.10294578,0.021185367,0.003497772,0.004441773,0.001107959,0.083911741,0.004516299,0.002553771,0.000313011,0.003363624,0.000919159,0.011154116,0.002012212,0.03452559,0.001396128,0.003855498,0.000407411,0.000665769,0.001714107,0.003368593,0.003398403,0.014532645,0.006518574,0.016962205,0.017652816,0.010880852,0.005306279,0.005872679,0.003915119,0.017543511,0.000934064,0.002687918,0.133973598,0.003636888,0.006925985,0.002697855,0.008908387,0.006429143,0.057360474,0.00277735,0.000268295,0.011089526,0.004282783,0.066775641,0.001778696,0.017891301,0.003269224,0.002136423,0.003388466,0.00116758,0.001843286,0.002608423,0.001748886,0.002181139,0.002931371,0.003368593,0.002990992,0.001465686,0.004317562,0.00154518,0.016912521,0.006036637,0.391,7.743333333,1256.666667,NA,NA,NA,NA,NA,NA,0.25,785534328
"20191018L1","L1",9,"Closing-I",0.011773198,0.003952609,0.022530864,0.000751693,0.004062127,0.002036041,0.000338511,0.000761649,0.004958184,0.00962266,0.003280566,0.005814417,0.002070888,0.001493429,0.001498407,0.00217045,0.013107328,0.016363003,0.114555954,0.039660494,0.016487455,0.004485265,0.00083632,0.080067702,0.002852449,0.001095181,0.00031362,0.000502788,0.002060932,0.00784548,0.001802071,0.02942055,0.000766627,0.001418757,0.000622262,0.000368379,0.00073178,0.003867981,0.004823775,0.020051772,0.01045898,0.00611808,0.003380127,0.004500199,0.003021705,0.003340303,0.001478495,0.048182995,0.001368977,0.002922143,0.139904421,0.002309837,0.003449821,0.002205297,0.001911589,0.004993031,0.035165273,0.003315412,0.000487853,0.009826762,0.000696933,0.131600956,0.003340303,0.017164476,0.000776583,0.000871167,0.000462963,0.000542613,0.00062724,0.001234568,0.000910992,0.00125448,0.002294902,0.005436081,0.000881123,0.00062724,0.001493429,0.000547591,0.010697929,0.003131223,0.408333333,7.846666667,1217,710,235,475,32.75,60.7949571,58.804646,NA,NA
