parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value
CODt,L1,0,1225,CODs,L1,0,1293,CODb,L1,0,-68
CODt,L2,0,1281.25,CODs,L2,0,1287,CODb,L2,0,-5.75
CODt,L3,0,1278.75,CODs,L3,0,1307,CODb,L3,0,-28.25
CODt,L4,0,1275,CODs,L4,0,1309,CODb,L4,0,-34
CODt,L5,0,1231.25,CODs,L5,0,1281,CODb,L5,0,-49.75
CODt,R,0,,CODs,R,0,,CODb,R,0,
CODt,L1,1,1038,CODs,L1,1,,CODb,L1,1,
CODt,L2,1,695,CODs,L2,1,160,CODb,L2,1,535
CODt,L3,1,945,CODs,L3,1,413,CODb,L3,1,532
CODt,L4,1,809,CODs,L4,1,269,CODb,L4,1,540
CODt,L5,1,715,CODs,L5,1,150,CODb,L5,1,565
CODt,R,1,,CODs,R,1,,CODb,R,1,
CODt,L1,2,2133,CODs,L1,2,1560,CODb,L1,2,573
CODt,L2,2,2015,CODs,L2,2,272,CODb,L2,2,1743
CODt,L3,2,2882.5,CODs,L3,2,190,CODb,L3,2,2692.5
CODt,L4,2,2676,CODs,L4,2,,CODb,L4,2,
CODt,L5,2,1761,CODs,L5,2,,CODb,L5,2,
CODt,R,2,,CODs,R,2,,CODb,R,2,
CODt,L1,3,730,CODs,L1,3,127.5,CODb,L1,3,602.5
CODt,L2,3,717.5,CODs,L2,3,135,CODb,L2,3,582.5
CODt,L3,3,752.5,CODs,L3,3,137.5,CODb,L3,3,615
CODt,L4,3,735,CODs,L4,3,135,CODb,L4,3,600
CODt,L5,3,777.5,CODs,L5,3,155,CODb,L5,3,622.5
CODt,R,3,,CODs,R,3,,CODb,R,3,
CODt,L1,4,532,CODs,L1,4,106,CODb,L1,4,426
CODt,L2,4,684,CODs,L2,4,254,CODb,L2,4,430
CODt,L3,4,620,CODs,L3,4,156,CODb,L3,4,464
CODt,L4,4,677,CODs,L4,4,185,CODb,L4,4,492
CODt,L5,4,562,CODs,L5,4,146,CODb,L5,4,416
CODt,R,4,,CODs,R,4,,CODb,R,4,
CODt,L1,5,514,CODs,L1,5,119,CODb,L1,5,395
CODt,L2,5,517,CODs,L2,5,122,CODb,L2,5,395
CODt,L3,5,581,CODs,L3,5,137,CODb,L3,5,444
CODt,L4,5,606,CODs,L4,5,164,CODb,L4,5,442
CODt,L5,5,623,CODs,L5,5,185,CODb,L5,5,438
CODt,R,5,,CODs,R,5,,CODb,R,5,
CODt,L1,6,579,CODs,L1,6,119,CODb,L1,6,460
CODt,L2,6,686,CODs,L2,6,219,CODb,L2,6,467
CODt,L3,6,809,CODs,L3,6,259,CODb,L3,6,550
CODt,L4,6,599,CODs,L4,6,153,CODb,L4,6,446
CODt,L5,6,811,CODs,L5,6,268,CODb,L5,6,543
CODt,R,6,,CODs,R,6,,CODb,R,6,
CODt,L1,9,710,CODs,L1,9,235,CODb,L1,9,475
CODt,L2,9,730,CODs,L2,9,292,CODb,L2,9,438
CODt,L3,9,889,CODs,L3,9,267,CODb,L3,9,622
CODt,L4,9,710,CODs,L4,9,205,CODb,L4,9,505
CODt,L5,9,792,CODs,L5,9,285,CODb,L5,9,507
CODt,R,9,599,CODs,R,9,202,CODb,R,9,397
CODt,L1,13,691,CODs,L1,13,112,CODb,L1,13,579
CODt,L2,13,884,CODs,L2,13,263,CODb,L2,13,621
CODt,L3,13,812,CODs,L3,13,508,CODb,L3,13,304
CODt,L4,13,729,CODs,L4,13,480,CODb,L4,13,249
CODt,L5,13,857,CODs,L5,13,512,CODb,L5,13,345
CODt,R,13,1604,CODs,R,13,1246,CODb,R,13,358
CODt,L1,16,665,CODs,L1,16,85,CODb,L1,16,580
CODt,L2,16,748,CODs,L2,16,130,CODb,L2,16,618
CODt,L3,16,837,CODs,L3,16,212.5,CODb,L3,16,624.5
CODt,L4,16,684,CODs,L4,16,167.5,CODb,L4,16,516.5
CODt,L5,16,795,CODs,L5,16,355,CODb,L5,16,440
CODt,R,16,673,CODs,R,16,215,CODb,R,16,458
CODt,L1,20,630,CODs,L1,20,220,CODb,L1,20,410
CODt,L2,20,754,CODs,L2,20,178,CODb,L2,20,576
CODt,L3,20,651,CODs,L3,20,154,CODb,L3,20,497
CODt,L4,20,721,CODs,L4,20,236,CODb,L4,20,485
CODt,L5,20,778,CODs,L5,20,294,CODb,L5,20,484
CODt,R,20,731,CODs,R,20,298,CODb,R,20,433
CODt,L1,23,711,CODs,L1,23,308,CODb,L1,23,403
CODt,L2,23,696,CODs,L2,23,118,CODb,L2,23,578
CODt,L3,23,702,CODs,L3,23,232,CODb,L3,23,470
CODt,L4,23,675,CODs,L4,23,314,CODb,L4,23,361
CODt,L5,23,1014,CODs,L5,23,530,CODb,L5,23,484
CODt,R,23,695,CODs,R,23,282,CODb,R,23,413
CODt,L1,26,572,CODs,L1,26,288,CODb,L1,26,284
CODt,L2,26,679,CODs,L2,26,106,CODb,L2,26,573
CODt,L3,26,727,CODs,L3,26,262,CODb,L3,26,465
CODt,L4,26,658,CODs,L4,26,348,CODb,L4,26,310
CODt,L5,26,882,CODs,L5,26,480,CODb,L5,26,402
CODt,R,26,597,CODs,R,26,232,CODb,R,26,365
CODt,L1,27,677,CODs,L1,27,,CODb,L1,27,
CODt,L2,27,893,CODs,L2,27,326,CODb,L2,27,567
CODt,L3,27,781,CODs,L3,27,266,CODb,L3,27,515
CODt,L4,27,790,CODs,L4,27,410,CODb,L4,27,380
CODt,L5,27,950,CODs,L5,27,484,CODb,L5,27,466
CODt,R,27,658,CODs,R,27,260,CODb,R,27,398
CODt,L1,28,555,CODs,L1,28,244,CODb,L1,28,311
CODt,L2,28,761,CODs,L2,28,190,CODb,L2,28,571
CODt,L3,28,496,CODs,L3,28,218,CODb,L3,28,278
CODt,L4,28,685,CODs,L4,28,324,CODb,L4,28,361
CODt,L5,28,733,CODs,L5,28,344,CODb,L5,28,389
CODt,R,28,663,CODs,R,28,332,CODb,R,28,331
CODt,L1,29,681,CODs,L1,29,268,CODb,L1,29,413
CODt,L2,29,668,CODs,L2,29,102,CODb,L2,29,566
CODt,L3,29,1937,CODs,L3,29,1240,CODb,L3,29,697
CODt,L4,29,858,CODs,L4,29,456,CODb,L4,29,402
CODt,L5,29,924,CODs,L5,29,500,CODb,L5,29,424
CODt,R,29,667,CODs,R,29,306,CODb,R,29,361
CODt,L1,30,616,CODs,L1,30,204,CODb,L1,30,412
CODt,L2,30,684,CODs,L2,30,114,CODb,L2,30,570
CODt,L3,30,743,CODs,L3,30,274,CODb,L3,30,469
CODt,L4,30,841,CODs,L4,30,388,CODb,L4,30,453
CODt,L5,30,893,CODs,L5,30,446,CODb,L5,30,447
CODt,R,30,1843,CODs,R,30,1120,CODb,R,30,723
CODt,L1,34,768,CODs,L1,34,366,CODb,L1,34,402
CODt,L2,34,768,CODs,L2,34,186,CODb,L2,34,582
CODt,L3,34,722,CODs,L3,34,268,CODb,L3,34,454
CODt,L4,34,813,CODs,L4,34,324,CODb,L4,34,489
CODt,L5,34,931,CODs,L5,34,614,CODb,L5,34,317
CODt,R,34,739,CODs,R,34,308,CODb,R,34,431
CODt,L1,37,790,CODs,L1,37,526,CODb,L1,37,264
CODt,L2,37,741,CODs,L2,37,298,CODb,L2,37,443
CODt,L3,37,713,CODs,L3,37,368,CODb,L3,37,345
CODt,L4,37,727,CODs,L4,37,470,CODb,L4,37,257
CODt,L5,37,757,CODs,L5,37,436,CODb,L5,37,321
CODt,R,37,696,CODs,R,37,386,CODb,R,37,310
CODt,L1,41,811,CODs,L1,41,454,CODb,L1,41,357
CODt,L2,41,772,CODs,L2,41,238,CODb,L2,41,534
CODt,L3,41,760,CODs,L3,41,320,CODb,L3,41,440
CODt,L4,41,729,CODs,L4,41,392,CODb,L4,41,337
CODt,L5,41,891,CODs,L5,41,522,CODb,L5,41,369
CODt,R,41,637,CODs,R,41,276,CODb,R,41,361
CODt,L1,44,720,CODs,L1,44,252,CODb,L1,44,468
CODt,L2,44,666,CODs,L2,44,170,CODb,L2,44,496
CODt,L3,44,769,CODs,L3,44,356,CODb,L3,44,413
CODt,L4,44,638,CODs,L4,44,394,CODb,L4,44,244
CODt,L5,44,700,CODs,L5,44,402,CODb,L5,44,298
CODt,R,44,708,CODs,R,44,370,CODb,R,44,338
CODt,L1,47,750,CODs,L1,47,316,CODb,L1,47,434
CODt,L2,47,666,CODs,L2,47,216,CODb,L2,47,450
CODt,L3,47,699,CODs,L3,47,300,CODb,L3,47,399
CODt,L4,47,635,CODs,L4,47,308,CODb,L4,47,327
CODt,L5,47,736,CODs,L5,47,334,CODb,L5,47,402
CODt,R,47,727,CODs,R,47,372,CODb,R,47,355
CODt,L1,48,803,CODs,L1,48,370,CODb,L1,48,433
CODt,L2,48,729,CODs,L2,48,300,CODb,L2,48,429
CODt,L3,48,837,CODs,L3,48,374,CODb,L3,48,463
CODt,L4,48,797,CODs,L4,48,404,CODb,L4,48,393
