parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value
EC,L1,0,952.6666667,EC,L2,0,961.6666667,EC,L3,0,976.6666667,EC,L4,0,973.3333333,EC,L5,0,965.6666667,EC,R,9,1242.333333
EC,L1,1,1064.666667,EC,L2,1,1066.333333,EC,L3,1,1077.666667,EC,L4,1,1064.666667,EC,L5,1,1074,EC,R,12,1209.666667
EC,L1,2,1242,EC,L2,2,1205,EC,L3,2,1204.666667,EC,L4,2,1232.666667,EC,L5,2,1216.333333,EC,R,13,1209.666667
EC,L1,3,1235,EC,L2,3,1250.666667,EC,L3,3,1226.333333,EC,L4,3,1246.333333,EC,L5,3,1234,EC,R,14,1214
EC,L1,4,1276.666667,EC,L2,4,1279.333333,EC,L3,4,1226,EC,L4,4,1221.333333,EC,L5,4,1266,EC,R,15,1219.333333
EC,L1,5,1268,EC,L2,5,1259.666667,EC,L3,5,1209.333333,EC,L4,5,1212.666667,EC,L5,5,1250.333333,EC,R,16,1218
EC,L1,6,1234.666667,EC,L2,6,1236,EC,L3,6,1182,EC,L4,6,1244.666667,EC,L5,6,1224,EC,R,19,1184
EC,L1,7,1218.666667,EC,L2,7,1219.333333,EC,L3,7,1163.666667,EC,L4,7,1242.333333,EC,L5,7,1205,EC,R,20,1184.333333
EC,L1,8,1256.666667,EC,L2,8,1219.666667,EC,L3,8,1170.666667,EC,L4,8,1263,EC,L5,8,1210,EC,R,21,1186.666667
EC,L1,9,1217,EC,L2,9,1236.666667,EC,L3,9,1164.666667,EC,L4,9,1248.333333,EC,L5,9,1217,EC,R,23,1179
EC,L1,12,1151.666667,EC,L2,12,1157,EC,L3,12,1137.333333,EC,L4,12,1157.666667,EC,L5,12,1161.333333,EC,R,26,1199.333333
EC,L1,13,1162.666667,EC,L2,13,1157.333333,EC,L3,13,1128,EC,L4,13,1168.333333,EC,L5,13,1173.666667,EC,R,27,1218
EC,L1,14,1183,EC,L2,14,1158.333333,EC,L3,14,1144.333333,EC,L4,14,1168.333333,EC,L5,14,1192.333333,EC,R,28,1255.666667
EC,L1,15,1189.333333,EC,L2,15,1157.333333,EC,L3,15,1145.666667,EC,L4,15,1207,EC,L5,15,1184.333333,EC,R,29,1207
EC,L1,16,1212.333333,EC,L2,16,1162.333333,EC,L3,16,1142.333333,EC,L4,16,1191.333333,EC,L5,16,1170.333333,EC,R,30,1173.333333
EC,L1,19,1137.666667,EC,L2,19,1131.666667,EC,L3,19,1120,EC,L4,19,1138,EC,L5,19,1154,EC,R,33,1189.666667
EC,L1,20,1160.333333,EC,L2,20,1132.666667,EC,L3,20,1134,EC,L4,20,1143.666667,EC,L5,20,1151.666667,EC,R,34,1201.666667
EC,L1,21,1166.666667,EC,L2,21,1149,EC,L3,21,1127,EC,L4,21,1148.666667,EC,L5,21,1128.666667,EC,R,35,1199
EC,L1,23,1173,EC,L2,23,1142,EC,L3,23,1144.333333,EC,L4,23,1157,EC,L5,23,1134,EC,R,36,1182.333333
EC,L1,26,1251.666667,EC,L2,26,1172.333333,EC,L3,26,1181,EC,L4,26,1192.333333,EC,L5,26,1146.666667,EC,R,37,1188.333333
EC,L1,27,1290.333333,EC,L2,27,1213,EC,L3,27,1226.333333,EC,L4,27,1214.666667,EC,L5,27,1198,EC,R,40,1220
EC,L1,28,1379.666667,EC,L2,28,1262.666667,EC,L3,28,1369.666667,EC,L4,28,1273.333333,EC,L5,28,1235,EC,R,41,1231
EC,L1,29,1324.666667,EC,L2,29,1224.333333,EC,L3,29,1289,EC,L4,29,1240.333333,EC,L5,29,1190.333333,EC,R,43,1241.333333
EC,L1,30,1275,EC,L2,30,1218.333333,EC,L3,30,1263.666667,EC,L4,30,1214.666667,EC,L5,30,1164,EC,R,44,1219.666667
EC,L1,33,1291.333333,EC,L2,33,1254.666667,EC,L3,33,1309.666667,EC,L4,33,1252.333333,EC,L5,33,1181,EC,R,47,1214.333333
EC,L1,34,1280.333333,EC,L2,34,1270.333333,EC,L3,34,1317.666667,EC,L4,34,1271.333333,EC,L5,34,1189,EC,R,48,1364
EC,L1,35,1306,EC,L2,35,1249.666667,EC,L3,35,1298.333333,EC,L4,35,1279.666667,EC,L5,35,1189.666667,EC,R,49,1584
EC,L1,36,1279.666667,EC,L2,36,1229.666667,EC,L3,36,1273,EC,L4,36,1298,EC,L5,36,1172.333333,EC,R,50,1720.666667
EC,L1,37,1277,EC,L2,37,1229.666667,EC,L3,37,1277,EC,L4,37,1308.666667,EC,L5,37,1181.333333,EC,R,51,1835
EC,L1,40,1307.333333,EC,L2,40,1272,EC,L3,40,1289.666667,EC,L4,40,1329.333333,EC,L5,40,1250.666667,EC,R,54,2036.666667
EC,L1,41,1324.666667,EC,L2,41,1271,EC,L3,41,1291.333333,EC,L4,41,1323,EC,L5,41,1268.333333,EC,R,55,2040
EC,L1,43,1272,EC,L2,43,1310.333333,EC,L3,43,1322,EC,L4,43,1358.333333,EC,L5,43,1294,EC,R,56,2086.666667
EC,L1,44,1235.333333,EC,L2,44,1294.333333,EC,L3,44,1303,EC,L4,44,1307,EC,L5,44,1291.666667,EC,R,57,2100
EC,L1,47,1266,EC,L2,47,1339.666667,EC,L3,47,1300,EC,L4,47,1281.666667,EC,L5,47,1237,EC,R,58,2126.666667
EC,L1,48,1525.333333,EC,L2,48,1592,EC,L3,48,1549.666667,EC,L4,48,1521,EC,L5,48,1483.666667,EC,R,61,2143.333333
