parameter,reactor,time,value
Ammonium,L1,0,6.5
Ammonium,L2,0,6.75
Ammonium,L3,0,6.5
Ammonium,L4,0,6.25
Ammonium,L5,0,6.5
Ammonium,R,0,5.5
Ammonium,L1,1,13
Ammonium,L2,1,12.5
Ammonium,L3,1,10
Ammonium,L4,1,10.5
Ammonium,L5,1,13.5
Ammonium,R,1,
Ammonium,L1,2,35
Ammonium,L2,2,33.5
Ammonium,L3,2,29
Ammonium,L4,2,33.5
Ammonium,L5,2,32
Ammonium,R,2,
Ammonium,L1,5,38.5
Ammonium,L2,5,37.25
Ammonium,L3,5,29
Ammonium,L4,5,29
Ammonium,L5,5,34
Ammonium,R,5,
Ammonium,L1,6,16
Ammonium,L2,6,16
Ammonium,L3,6,13
Ammonium,L4,6,15.5
Ammonium,L5,6,14.25
Ammonium,R,6,
Ammonium,L1,9,32.75
Ammonium,L2,9,33.25
Ammonium,L3,9,25.5
Ammonium,L4,9,37.5
Ammonium,L5,9,30.5
Ammonium,R,9,34.75
Ammonium,L1,13,26
Ammonium,L2,13,25.75
Ammonium,L3,13,22.5
Ammonium,L4,13,25.25
Ammonium,L5,13,26.5
Ammonium,R,13,33.5
Ammonium,L1,16,32.75
Ammonium,L2,16,21.5
Ammonium,L3,16,23.5
Ammonium,L4,16,27.25
Ammonium,L5,16,25.25
Ammonium,R,16,31.5
Ammonium,L1,20,27
Ammonium,L2,20,21.75
Ammonium,L3,20,24.5
Ammonium,L4,20,23.25
Ammonium,L5,20,26
Ammonium,R,20,29.75
Ammonium,L1,23,27.75
Ammonium,L2,23,22.25
Ammonium,L3,23,23.5
Ammonium,L4,23,24.75
Ammonium,L5,23,19.75
Ammonium,R,23,27
Ammonium,L1,26,19
Ammonium,L2,26,11.5
Ammonium,L3,26,13
Ammonium,L4,26,14.75
Ammonium,L5,26,9.5
Ammonium,R,26,12.75
Ammonium,L1,27,36.25
Ammonium,L2,27,27.75
Ammonium,L3,27,27.5
Ammonium,L4,27,25
Ammonium,L5,27,21.5
Ammonium,R,27,24
Ammonium,L1,28,43.5
Ammonium,L2,28,27.5
Ammonium,L3,28,46.5
Ammonium,L4,28,29
Ammonium,L5,28,19.5
Ammonium,R,28,20.5
Ammonium,L1,29,34
Ammonium,L2,29,20
Ammonium,L3,29,30
Ammonium,L4,29,21.5
Ammonium,L5,29,12
Ammonium,R,29,14
Ammonium,L1,30,29.5
Ammonium,L2,30,20.75
Ammonium,L3,30,28.25
Ammonium,L4,30,78
Ammonium,L5,30,10.75
Ammonium,R,30,10.75
Ammonium,L1,34,30.5
Ammonium,L2,34,22.25
Ammonium,L3,34,32.25
Ammonium,L4,34,20.75
Ammonium,L5,34,8
Ammonium,R,34,6.5
Ammonium,L1,37,32
Ammonium,L2,37,22.25
Ammonium,L3,37,31
Ammonium,L4,37,29.75
Ammonium,L5,37,12
Ammonium,R,37,8.25
Ammonium,L1,41,31.75
Ammonium,L2,41,24.5
Ammonium,L3,41,27.5
Ammonium,L4,41,30.25
Ammonium,L5,41,21.25
Ammonium,R,41,13
Ammonium,L1,44,19.25
Ammonium,L2,44,31.25
Ammonium,L3,44,30.5
Ammonium,L4,44,29
Ammonium,L5,44,24.25
Ammonium,R,44,10.25
Ammonium,L1,47,22
Ammonium,L2,47,36.25
Ammonium,L3,47,31.75
Ammonium,L4,47,25.75
Ammonium,L5,47,18.75
Ammonium,R,47,9.25
Ammonium,L1,48,27.5
Ammonium,L2,48,39
Ammonium,L3,48,31.5
Ammonium,L4,48,21.5
Ammonium,L5,48,20.5
Ammonium,R,48,10
Ammonium,L1,49,28.5
Ammonium,L2,49,41.5
Ammonium,L3,49,34.5
Ammonium,L4,49,29.5
Ammonium,L5,49,24.5
Ammonium,R,49,11.5
Ammonium,L1,50,27
Ammonium,L2,50,39.5
Ammonium,L3,50,38
Ammonium,L4,50,24.5
Ammonium,L5,50,28
Ammonium,R,50,15
Ammonium,L1,51,36.5
Ammonium,L2,51,42
Ammonium,L3,51,36.5
Ammonium,L4,51,24
Ammonium,L5,51,36
Ammonium,R,51,16.5
Ammonium,L1,55,28.5
Ammonium,L2,55,33
Ammonium,L3,55,28
Ammonium,L4,55,29
Ammonium,L5,55,21.5
Ammonium,R,55,13
Ammonium,L1,58,27
Ammonium,L2,58,31.5
Ammonium,L3,58,32.5
Ammonium,L4,58,29
Ammonium,L5,58,24.5
Ammonium,R,58,7
Ammonium,L1,62,27.5
Ammonium,L2,62,30
Ammonium,L3,62,30
Ammonium,L4,62,30.5
Ammonium,L5,62,27.5
Ammonium,R,62,9.5
Ammonium,L1,64,28.5
Ammonium,L2,64,38.5
Ammonium,L3,64,34
Ammonium,L4,64,32.5
Ammonium,L5,64,34
Ammonium,R,64,10.5
Ammonium,L1,65,26.5
Ammonium,L2,65,40.5
Ammonium,L3,65,35
Ammonium,L4,65,39
Ammonium,L5,65,36
Ammonium,R,65,8
Ammonium,L1,66,31
Ammonium,L2,66,46
Ammonium,L3,66,39.5
Ammonium,L4,66,41.5
Ammonium,L5,66,38.5
Ammonium,R,66,10.5
Ammonium,L1,67,32.5
Ammonium,L2,67,51
Ammonium,L3,67,40
Ammonium,L4,67,46
Ammonium,L5,67,39.5
Ammonium,R,67,12
Ammonium,L1,68,32.5
Ammonium,L2,68,51
Ammonium,L3,68,43.5
Ammonium,L4,68,45.5
Ammonium,L5,68,37.5
Ammonium,R,68,14.5
Ammonium,L1,69,34
Ammonium,L2,69,50
Ammonium,L3,69,40
Ammonium,L4,69,46
Ammonium,L5,69,41
Ammonium,R,69,14
Ammonium,L1,72,29.5
Ammonium,L2,72,39
Ammonium,L3,72,28
Ammonium,L4,72,34
Ammonium,L5,72,32
Ammonium,R,72,5.5
Ammonium,L1,76,32.5
Ammonium,L2,76,41
Ammonium,L3,76,33
Ammonium,L4,76,39.5
Ammonium,L5,76,35.5
Ammonium,R,76,8.5
Ammonium,L1,79,23
Ammonium,L2,79,28
Ammonium,L3,79,22
Ammonium,L4,79,24
Ammonium,L5,79,26.5
Ammonium,R,79,4
Ammonium,L1,83,12
Ammonium,L2,83,26
Ammonium,L3,83,13
Ammonium,L4,83,26.5
Ammonium,L5,83,10
Ammonium,R,83,2
Ammonium,L1,86,47.5
Ammonium,L2,86,64
Ammonium,L3,86,51.5
Ammonium,L4,86,60
Ammonium,L5,86,42
Ammonium,R,86,8.5
Ammonium,L1,89,20.25
Ammonium,L2,89,35.25
Ammonium,L3,89,29.75
Ammonium,L4,89,29.5
Ammonium,L5,89,24.5
Ammonium,R,89,3.5
Ammonium,L1,90,17.5
Ammonium,L2,90,27
Ammonium,L3,90,17.5
Ammonium,L4,90,19.5
Ammonium,L5,90,12
Ammonium,R,90,5
Ammonium,L1,91,11.5
Ammonium,L2,91,24.25
Ammonium,L3,91,8.75
Ammonium,L4,91,10.75
Ammonium,L5,91,7.75
Ammonium,R,91,3
Ammonium,L1,92,7.75
Ammonium,L2,92,21
Ammonium,L3,92,6
Ammonium,L4,92,5.75
Ammonium,L5,92,5.5
Ammonium,R,92,2.25
Ammonium,L1,93,6.25
Ammonium,L2,93,14.5
Ammonium,L3,93,3
Ammonium,L4,93,3.5
Ammonium,L5,93,3.25
Ammonium,R,93,1.25
Ammonium,L1,97,9.75
Ammonium,L2,97,13.5
Ammonium,L3,97,10.25
Ammonium,L4,97,8
Ammonium,L5,97,14
Ammonium,R,97,7.25
Ammonium,L1,100,20
Ammonium,L2,100,25
Ammonium,L3,100,20.5
Ammonium,L4,100,19
Ammonium,L5,100,21.5
Ammonium,R,100,15
Ammonium,L1,104,26.75
Ammonium,L2,104,30.5
Ammonium,L3,104,28
Ammonium,L4,104,24.25
Ammonium,L5,104,25.75
Ammonium,R,104,12.25
Ammonium,L1,107,31.25
Ammonium,L2,107,22.5
Ammonium,L3,107,14.75
Ammonium,L4,107,21.25
Ammonium,L5,107,18.5
Ammonium,R,107,7.75
