parameter,reactor,time ,value
Dry_weight,L1,8,0.25
Dry_weight,L2,8,0.2
Dry_weight,L3,8,0.25
Dry_weight,L4,8,0.1
Dry_weight,L5,8,0.2
Dry_weight,L1,15,0.333333333
Dry_weight,L2,15,0.4
Dry_weight,L3,15,0.266666667
Dry_weight,L4,15,0.25
Dry_weight,L5,15,0.25
Dry_weight,R,15,0.316666667
Dry_weight,L1,21,0.183333333
Dry_weight,L2,21,0.25
Dry_weight,L3,21,0.316666667
Dry_weight,L4,21,0.2
Dry_weight,L5,21,0.216666667
Dry_weight,R,21,0.1
Dry_weight,L1,36,0.1
Dry_weight,L2,36,0.233333333
Dry_weight,L3,36,0.15
Dry_weight,L4,36,0.05
Dry_weight,L5,36,0.133333333
Dry_weight,R,36,0.1
Dry_weight,L1,43,0.25
Dry_weight,L2,43,0.3
Dry_weight,L3,43,0.2
Dry_weight,L4,43,0.1
Dry_weight,L5,43,0.15
Dry_weight,R,43,0.2
Dry_weight,L1,57,0.4
Dry_weight,L2,57,0.3
Dry_weight,L3,57,0.35
Dry_weight,L4,57,0.35
Dry_weight,L5,57,0.3
Dry_weight,R,57,0.3
Dry_weight,L1,71,0.45
Dry_weight,L2,71,0.45
Dry_weight,L3,71,0.5
Dry_weight,L4,71,0.45
Dry_weight,L5,71,0.45
Dry_weight,R,71,0.45
Dry_weight,L1,85,0.783333333
Dry_weight,L2,85,0.966666667
Dry_weight,L3,85,0.766666667
Dry_weight,L4,85,0.75
Dry_weight,L5,85,0.95
Dry_weight,R,85,0.75
Dry_weight,L1,99,0.3
Dry_weight,L2,99,0.35
Dry_weight,L3,99,0.3
Dry_weight,L4,99,0.3
Dry_weight,L5,99,0.3
Dry_weight,R,99,0.35
Dry_weight,L1,106,0.25
Dry_weight,L2,106,0.35
Dry_weight,L3,106,0.3
Dry_weight,L4,106,0.25
Dry_weight,L5,106,0.366666667
Dry_weight,R,106,0.283333333
