Reactor	Time	Cell_number
L1	1	792101846
L1	2	700036893
L1	5	473989069
L1	7	408050916
L1	8	785534328
L1	12	1013085396
L1	13	1234194552
L1	14	1158368400
L1	15	1144935000
L1	16	458755000
L1	19	1806687903
L1	20	1648071609
L1	21	1865355880
L1	23	1462156134
L1	26	1305118740
L1	27	3207093258
L1	28	845848308
L1	29	943250649
L1	30	1790488389
L1	33	3146274030
L1	34	2227859478
L1	35	1828824081
L1	36	2837930649
L1	37	2900091942
L1	40	2075432472
L1	41	1748552805
L1	43	2548360389
L1	44	3125274660
L1	47	1248309918
L1	48	1109619342
L1	49	2582259372
L1	50	2041265076
L1	51	1748663328
L1	54	1553277611
L1	55	3573713838
L1	56	3257333856
L1	57	3010425474
L1	58	2290857588
L1	61	2912612619
L1	62	2572691238
L1	63	1867816595
L1	64	2835988602
L1	65	4153706964
L1	66	3790528386
L1	67	4728458142
L1	68	3968249370
L1	69	4300213095
L1	70	5256887026
L1	71	3828200940
L1	72	5888886486
L1	76	5287893990
L1	79	4740552516
L1	82	6250312485
L1	83	2592940631
L1	85	6013398540
L1	86	5612002688
L1	89	5555643852
L1	90	4159517316
L1	91	2160029934
L1	92	1881001463
L1	93	1513873004
L1	96	958865970
L1	97	755377338
L1	98	736572639
L1	99	907141206
L1	100	1685286282
L1	103	1623551292
L1	104	1673791890
L1	105	1501218120
L1	106	1151049678
L1	107	1490307921
L2	1	934408914
L2	2	811996692
L2	5	619118268
L2	7	441202553
L2	8	499911318
L2	12	762766590
L2	13	591266472
L2	14	378958800
L2	15	380923125
L2	16	364443750
L2	19	825685755
L2	20	1753853962
L2	21	425976694
L2	23	827138343
L2	26	1251672975
L2	27	978239073
L2	28	986749344
L2	29	1134550173
L2	30	1625382816
L2	33	1371116760
L2	34	895520502
L2	35	1287135069
L2	36	1252225590
L2	37	1660860699
L2	40	1069878429
L2	41	1210258428
L2	43	953008251
L2	44	1185438120
L2	47	1502860176
L2	48	1610225376
L2	49	2313293757
L2	50	2671609323
L2	51	2139267399
L2	54	1140313158
L2	55	2855345916
L2	56	3691531356
L2	57	2957706003
L2	58	2498603987
L2	61	2749701717
L2	62	2082404631
L2	63	1907923813
L2	64	3118488022
L2	65	3503500155
L2	66	3693520770
L2	67	3682721094
L2	68	3515957676
L2	69	4051125831
L2	70	4315475795
L2	71	5147240315
L2	72	6188214348
L2	76	5045817042
L2	79	4488686388
L2	82	6519214944
L2	83	2590595964
L2	85	7225409547
L2	86	6596386313
L2	89	6452932722
L2	90	4596841038
L2	91	2371760424
L2	92	1337559872
L2	93	1566034597
L2	96	520689642
L2	97	1131787098
L2	98	1616922544
L2	99	2133236001
L2	100	1617583050
L2	103	2795584551
L2	104	2743701897
L2	105	2948043135
L2	106	2462247183
L2	107	2687414112
L3	1	1011073317
L3	2	773061018
L3	5	1320765639
L3	7	1947867878
L3	8	2001350484
L3	12	3405750456
L3	13	3437928438
L3	14	2938267200
L3	15	3194709375
L3	16	2613036250
L3	19	3007567665
L3	20	2559507423
L3	21	2578250282
L3	23	3046045458
L3	26	2973352902
L3	27	3101085912
L3	28	852100752
L3	29	1601304591
L3	30	1860117879
L3	33	1978203810
L3	34	1136129073
L3	35	1901532426
L3	36	1686502035
L3	37	1776625647
L3	40	1514686137
L3	41	1583541966
L3	43	1267761966
L3	44	1585373490
L3	47	2095073988
L3	48	2312204316
L3	49	2457036813
L3	50	2194970991
L3	51	2352687312
L3	54	1091853559
L3	55	3388477290
L3	56	3050308488
L3	57	2514477195
L3	58	2122270541
L3	61	2665404246
L3	62	2429783683
L3	63	1794997727
L3	64	2718148716
L3	65	3560451078
L3	66	4002574656
L3	67	4031184324
L3	68	3600839340
L3	69	4491891555
L3	70	4791172050
L3	71	5510492575
L3	72	6065975910
L3	76	5332071612
L3	79	4798877082
L3	82	5865139830
L3	83	2209370559
L3	85	7410125058
L3	86	6071644161
L3	89	6339172977
L3	90	4602809280
L3	91	2770843188
L3	92	1363524883
L3	93	1230718341
L3	96	1021643034
L3	97	898899348
L3	98	931585210
L3	99	1552050806
L3	100	1737358404
L3	103	1928105313
L3	104	1010164431
L3	105	2380870677
L3	106	2329872207
L3	107	2515171911
L4	1	825834526
L4	2	838538001
L4	5	1537185462
L4	7	393180310
L4	8	367788966
L4	12	2745675522
L4	13	2742012474
L4	14	1893619200
L4	15	977281250
L4	16	1059038750
L4	19	2310688572
L4	20	2069457651
L4	21	2137337194
L4	23	3354909876
L4	26	2377460253
L4	27	2306851845
L4	28	1655255604
L4	29	2008534479
L4	30	2144540925
L4	33	2784705930
L4	34	2589664413
L4	35	1769852166
L4	36	1607383356
L4	37	2309899122
L4	40	2502098619
L4	41	3112927662
L4	43	1676570754
L4	44	1929873681
L4	47	2314162152
L4	48	2024923461
L4	49	1890006456
L4	50	2138856885
L4	51	2454778986
L4	54	1062372338
L4	55	2608690158
