parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value,parameter,reactor,time,value
pH,L1,0,6.656666667,pH,L2,0,6.63,pH,L3,0,6.64,pH,L4,0,6.646666667,pH,L5,0,6.673333333,pH,R,9,8.026666667
pH,L1,1,7.873333333,pH,L2,1,7.89,pH,L3,1,7.8,pH,L4,1,7.8,pH,L5,1,7.923333333,pH,R,12,7.94
pH,L1,2,8.243333333,pH,L2,2,8.21,pH,L3,2,8.186666667,pH,L4,2,8.256666667,pH,L5,2,8.32,pH,R,13,8.026666667
pH,L1,3,7.87,pH,L2,3,7.923333333,pH,L3,3,7.9,pH,L4,3,7.93,pH,L5,3,7.946666667,pH,R,14,8.113333333
pH,L1,4,8.003333333,pH,L2,4,8.03,pH,L3,4,8.073333333,pH,L4,4,8.073333333,pH,L5,4,8.03,pH,R,15,8.086666667
pH,L1,5,7.99,pH,L2,5,8.043333333,pH,L3,5,8.09,pH,L4,5,8.076666667,pH,L5,5,8.093333333,pH,R,16,8.09
pH,L1,6,7.946666667,pH,L2,6,8.003333333,pH,L3,6,7.99,pH,L4,6,7.953333333,pH,L5,6,7.996666667,pH,R,19,8.076666667
pH,L1,7,7.863333333,pH,L2,7,7.916666667,pH,L3,7,7.93,pH,L4,7,7.91,pH,L5,7,7.943333333,pH,R,20,8.076666667
pH,L1,8,7.743333333,pH,L2,8,7.96,pH,L3,8,8.03,pH,L4,8,7.926666667,pH,L5,8,7.933333333,pH,R,21,7.96
pH,L1,9,7.846666667,pH,L2,9,7.786666667,pH,L3,9,7.94,pH,L4,9,7.876666667,pH,L5,9,7.916666667,pH,R,23,7.996666667
pH,L1,12,7.866666667,pH,L2,12,7.853333333,pH,L3,12,7.79,pH,L4,12,7.87,pH,L5,12,7.883333333,pH,R,26,7.883333333
pH,L1,13,7.846666667,pH,L2,13,7.863333333,pH,L3,13,7.84,pH,L4,13,7.86,pH,L5,13,7.87,pH,R,27,7.89
pH,L1,14,7.896666667,pH,L2,14,7.91,pH,L3,14,7.83,pH,L4,14,7.85,pH,L5,14,7.856666667,pH,R,28,7.853333333
pH,L1,15,7.85,pH,L2,15,7.78,pH,L3,15,7.786666667,pH,L4,15,7.78,pH,L5,15,7.833333333,pH,R,29,7.77
pH,L1,16,7.85,pH,L2,16,7.886666667,pH,L3,16,7.853333333,pH,L4,16,7.86,pH,L5,16,7.86,pH,R,30,7.716666667
pH,L1,19,7.936666667,pH,L2,19,7.876666667,pH,L3,19,7.98,pH,L4,19,7.92,pH,L5,19,7.836666667,pH,R,33,7.606666667
pH,L1,20,7.816666667,pH,L2,20,7.83,pH,L3,20,7.91,pH,L4,20,7.846666667,pH,L5,20,7.81,pH,R,34,7.546666667
pH,L1,21,7.8,pH,L2,21,7.816666667,pH,L3,21,7.963333333,pH,L4,21,7.836666667,pH,L5,21,7.776666667,pH,R,35,7.583333333
pH,L1,23,7.873333333,pH,L2,23,7.86,pH,L3,23,7.996666667,pH,L4,23,7.88,pH,L5,23,7.77,pH,R,36,7.58
pH,L1,26,7.93,pH,L2,26,8.086666667,pH,L3,26,8.22,pH,L4,26,8.006666667,pH,L5,26,7.86,pH,R,37,7.57
pH,L1,27,7.856666667,pH,L2,27,7.113333333,pH,L3,27,7.913333333,pH,L4,27,7.836666667,pH,L5,27,7.746666667,pH,R,40,7.503333333
pH,L1,28,8.193333333,pH,L2,28,8.265,pH,L3,28,8.43,pH,L4,28,8.1,pH,L5,28,7.903333333,pH,R,41,7.553333333
pH,L1,29,7.916666667,pH,L2,29,7.873333333,pH,L3,29,8.006666667,pH,L4,29,7.826666667,pH,L5,29,7.693333333,pH,R,43,7.596666667
pH,L1,30,7.996666667,pH,L2,30,7.896666667,pH,L3,30,8.01,pH,L4,30,7.836666667,pH,L5,30,7.67,pH,R,44,7.563333333
pH,L1,33,7.84,pH,L2,33,7.84,pH,L3,33,7.953333333,pH,L4,33,7.88,pH,L5,33,7.673333333,pH,R,47,7.626666667
pH,L1,34,7.706666667,pH,L2,34,7.83,pH,L3,34,7.886666667,pH,L4,34,7.843333333,pH,L5,34,7.673333333,pH,R,48,7.58
pH,L1,35,7.833333333,pH,L2,35,7.903333333,pH,L3,35,8.033333333,pH,L4,35,7.886666667,pH,L5,35,7.716666667,pH,R,49,7.7
pH,L1,36,7.646666667,pH,L2,36,7.866666667,pH,L3,36,7.973333333,pH,L4,36,7.886666667,pH,L5,36,7.75,pH,R,50,7.796666667
pH,L1,37,7.796666667,pH,L2,37,7.92,pH,L3,37,7.966666667,pH,L4,37,7.86,pH,L5,37,7.713333333,pH,R,51,7.713333333
pH,L1,40,7.656666667,pH,L2,40,7.863333333,pH,L3,40,7.916666667,pH,L4,40,7.786666667,pH,L5,40,7.683333333,pH,R,54,7.79
pH,L1,41,7.636666667,pH,L2,41,7.94,pH,L3,41,7.906666667,pH,L4,41,7.73,pH,L5,41,7.703333333,pH,R,55,7.726666667
pH,L1,43,7.76,pH,L2,43,7.936666667,pH,L3,43,7.946666667,pH,L4,43,7.77,pH,L5,43,7.71,pH,R,56,7.68
pH,L1,44,7.786666667,pH,L2,44,7.966666667,pH,L3,44,7.946666667,pH,L4,44,7.763333333,pH,L5,44,7.66,pH,R,57,7.65
pH,L1,47,7.736666667,pH,L2,47,7.956666667,pH,L3,47,8.06,pH,L4,47,7.843333333,pH,L5,47,7.786666667,pH,R,58,7.666666667
pH,L1,48,7.746666667,pH,L2,48,7.973333333,pH,L3,48,8.026666667,pH,L4,48,7.876666667,pH,L5,48,7.836666667,pH,R,61,7.69
pH,L1,49,7.736666667,pH,L2,49,7.966666667,pH,L3,49,8.023333333,pH,L4,49,7.876666667,pH,L5,49,7.863333333,pH,R,62,7.673333333
pH,L1,50,7.773333333,pH,L2,50,7.873333333,pH,L3,50,8.03,pH,L4,50,7.793333333,pH,L5,50,7.97,pH,R,63,7.696666667
pH,L1,51,7.716666667,pH,L2,51,7.636666667,pH,L3,51,7.9,pH,L4,51,7.806666667,pH,L5,51,7.83,pH,R,64,7.593333333
pH,L1,54,7.87,pH,L2,54,8.033333333,pH,L3,54,7.983333333,pH,L4,54,7.89,pH,L5,54,7.93,pH,R,65,7.843333333
pH,L1,55,7.816666667,pH,L2,55,8,pH,L3,55,7.956666667,pH,L4,55,7.846666667,pH,L5,55,7.91,pH,R,66,7.836666667
pH,L1,56,7.79,pH,L2,56,7.876666667,pH,L3,56,7.876666667,pH,L4,56,7.823333333,pH,L5,56,7.826666667,pH,R,67,7.9
pH,L1,57,7.686666667,pH,L2,57,7.85,pH,L3,57,7.816666667,pH,L4,57,7.8,pH,L5,57,7.773333333,pH,R,68,7.9
pH,L1,58,7.706666667,pH,L2,58,7.853333333,pH,L3,58,7.83,pH,L4,58,7.806666667,pH,L5,58,7.79,pH,R,69,7.99
pH,L1,61,7.753333333,pH,L2,61,7.82,pH,L3,61,7.826666667,pH,L4,61,7.866666667,pH,L5,61,7.846666667,pH,R,70,7.97
pH,L1,62,7.69,pH,L2,62,7.78,pH,L3,62,7.826666667,pH,L4,62,7.806666667,pH,L5,62,7.803333333,pH,R,71,7.94
pH,L1,63,7.716666667,pH,L2,63,7.796666667,pH,L3,63,7.83,pH,L4,63,7.823333333,pH,L5,63,7.83,pH,R,72,7.793333333
pH,L1,64,7.7,pH,L2,64,7.85,pH,L3,64,7.85,pH,L4,64,7.88,pH,L5,64,7.886666667,pH,R,76,7.816666667
pH,L1,65,7.663333333,pH,L2,65,7.946666667,pH,L3,65,7.853333333,pH,L4,65,7.93,pH,L5,65,8.04,pH,R,79,7.843333333
pH,L1,66,7.733333333,pH,L2,66,8.023333333,pH,L3,66,7.98,pH,L4,66,8.066666667,pH,L5,66,8.05,pH,R,82,7.93
pH,L1,67,7.833333333,pH,L2,67,8.08,pH,L3,67,8.076666667,pH,L4,67,8.083333333,pH,L5,67,8.096666667,pH,R,83,7.956666667
pH,L1,68,7.773333333,pH,L2,68,8.086666667,pH,L3,68,8.066666667,pH,L4,68,8.126666667,pH,L5,68,8.11,pH,R,85,8.02
pH,L1,69,7.886666667,pH,L2,69,8.093333333,pH,L3,69,8.043333333,pH,L4,69,8.11,pH,L5,69,8.113333333,pH,R,86,8.086666667
pH,L1,70,7.836666667,pH,L2,70,8.043333333,pH,L3,70,8.013333333,pH,L4,70,8.04,pH,L5,70,8.073333333,pH,R,89,8.14
pH,L1,71,7.78,pH,L2,71,7.993333333,pH,L3,71,7.906666667,pH,L4,71,7.986666667,pH,L5,71,8.006666667,pH,R,90,8.07
pH,L1,72,7.84,pH,L2,72,7.983333333,pH,L3,72,7.973333333,pH,L4,72,8,pH,L5,72,7.936666667,pH,R,91,7.946666667
pH,L1,76,7.8,pH,L2,76,7.98,pH,L3,76,7.946666667,pH,L4,76,8.006666667,pH,L5,76,7.98,pH,R,92,7.88
pH,L1,79,7.766666667,pH,L2,79,8.01,pH,L3,79,7.986666667,pH,L4,79,7.986666667,pH,L5,79,8,pH,R,93,7.823333333
pH,L1,82,7.786666667,pH,L2,82,7.946666667,pH,L3,82,7.91,pH,L4,82,8.01,pH,L5,82,7.98,pH,R,96,7.79
pH,L1,83,7.9,pH,L2,83,8.056666667,pH,L3,83,7.96,pH,L4,83,8.046666667,pH,L5,83,7.913333333,pH,R,97,7.85
pH,L1,85,7.91,pH,L2,85,8.103333333,pH,L3,85,8.08,pH,L4,85,8.106666667,pH,L5,85,8.07,pH,R,98,7.94
pH,L1,86,7.98,pH,L2,86,8.17,pH,L3,86,8.156666667,pH,L4,86,8.183333333,pH,L5,86,8.13,pH,R,99,7.966666667
pH,L1,89,8.026666667,pH,L2,89,8.173333333,pH,L3,89,8.226666667,pH,L4,89,8.223333333,pH,L5,89,8.183333333,pH,R,100,7.966666667
pH,L1,90,7.926666667,pH,L2,90,8.026666667,pH,L3,90,8.04,pH,L4,90,8,pH,L5,90,8.026666667,pH,R,103,7.973333333
pH,L1,91,7.816666667,pH,L2,91,7.983333333,pH,L3,91,7.93,pH,L4,91,7.946666667,pH,L5,91,7.88,pH,R,104,7.963333333
pH,L1,92,7.713333333,pH,L2,92,7.88,pH,L3,92,7.846666667,pH,L4,92,7.8,pH,L5,92,7.786666667,pH,R,105,7.783333333
