"sample.id"	"Barcode.sequence"	"Reactor"	"Days"	"Run"	"Year"	"Type"	"Identity"	"PCR.Cycles"	"Description"	"Time"
"Samp01"	"Samp01"	""	"R"	"85"	"Run1"	"2019"	"085_G5"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp02"	"Samp02"	""	"R"	"85"	"Run1"	"2019"	"085_G12"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D085"
"Samp03"	"Samp03"	""	"L2"	"86"	"Run1"	"2019"	"086_G18"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D086"
"Samp04"	"Samp04"	""	"L3"	"61"	"Run1"	"2019"	"061_G7"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D061"
"Samp05"	"Samp05"	""	"L3"	"61"	"Run1"	"2019"	"061_G12"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D061"
"Samp06"	"Samp06"	""	"L3"	"63"	"Run1"	"2019"	"063_G8"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
"Samp07"	"Samp07"	""	"L1"	"100"	"Run1"	"2019"	"100_G7"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp08"	"Samp08"	""	"L2"	"47"	"Run1"	"2019"	"047_G16"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D047"
"Samp09"	"Samp09"	""	"L2"	"47"	"Run1"	"2019"	"047_G22"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D047"
"Samp10"	"Samp10"	""	"L1"	"34"	"Run1"	"2019"	"034_G4"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D034"
"Samp11"	"Samp11"	""	"L1"	"99"	"Run1"	"2019"	"099_G8"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D099"
"Samp12"	"Samp12"	""	"L5"	"44"	"Run1"	"2019"	"044_G7"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D044"
"Samp13"	"Samp13"	""	"L3"	"100"	"Run1"	"2019"	"100_G5"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp14"	"Samp14"	""	"L1"	"71"	"Run1"	"2019"	"071_G4"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D071"
"Samp15"	"Samp15"	""	"L2"	"44"	"Run1"	"2019"	"044_G1"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D044"
"Samp154"	"Samp154"	""	"L1"	"99"	"Run2"	"2019"	"099_G38"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D099"
"Samp155"	"Samp155"	""	"L1"	"63"	"Run2"	"2019"	"063_G2"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
"Samp156"	"Samp156"	""	"L1"	"63"	"Run2"	"2019"	"063_G3"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
"Samp157"	"Samp157"	""	"L1"	"63"	"Run2"	"2019"	"063_G11"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D063"
"Samp158"	"Samp158"	""	"L1"	"100"	"Run2"	"2019"	"100_G3"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp159"	"Samp159"	""	"L1"	"100"	"Run2"	"2019"	"100_G4"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp16"	"Samp16"	""	"L2"	"44"	"Run1"	"2019"	"044_G24"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D044"
"Samp160"	"Samp160"	""	"L1"	"100"	"Run2"	"2019"	"100_G24"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D100"
"Samp161"	"Samp161"	""	"L2"	"47"	"Run2"	"2019"	"047_G33"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D047"
"Samp162"	"Samp162"	""	"L2"	"47"	"Run2"	"2019"	"047_G79"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D047"
"Samp163"	"Samp163"	""	"L2"	"26"	"Run2"	"2019"	"026_G33"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D026"
"Samp164"	"Samp164"	""	"L5"	"47"	"Run2"	"2019"	"047_G3"	"sorted"	"35"	"Illumina MiSeq sequencing"	"D047"
