sample.id	Barcode-sequence	Reactor	Days	Run	Year	Type	Identity	PCR.Cycles	Description	Time
Samp100		L1	1	Run1	2019	WC	Community_02	25	Illumina MiSeq sequencing	D001
Samp101		L2	1	Run1	2019	WC	Community_03	25	Illumina MiSeq sequencing	D001
Samp102		L3	1	Run1	2019	WC	Community_04	25	Illumina MiSeq sequencing	D001
Samp103		L4	1	Run1	2019	WC	Community_05	25	Illumina MiSeq sequencing	D001
Samp104		L5	1	Run1	2019	WC	Community_06	25	Illumina MiSeq sequencing	D001
Samp105		L1	8	Run1	2019	WC	Community_07	25	Illumina MiSeq sequencing	D008
Samp106		L2	8	Run1	2019	WC	Community_08	25	Illumina MiSeq sequencing	D008
Samp107		L3	8	Run1	2019	WC	Community_09	25	Illumina MiSeq sequencing	D008
Samp108		L4	8	Run1	2019	WC	Community_10	25	Illumina MiSeq sequencing	D008
Samp109		L5	8	Run1	2019	WC	Community_11	25	Illumina MiSeq sequencing	D008
Samp110		R	9	Run1	2019	WC	Community_12	25	Illumina MiSeq sequencing	D009
Samp111		L1	26	Run1	2019	WC	Community_13	25	Illumina MiSeq sequencing	D026
Samp112		L2	26	Run1	2019	WC	Community_14	25	Illumina MiSeq sequencing	D026
Samp113		L3	26	Run1	2019	WC	Community_15	25	Illumina MiSeq sequencing	D026
Samp114		L4	26	Run1	2019	WC	Community_16	25	Illumina MiSeq sequencing	D026
Samp115		L5	26	Run1	2019	WC	Community_17	25	Illumina MiSeq sequencing	D026
Samp116		R	26	Run1	2019	WC	Community_18	25	Illumina MiSeq sequencing	D026
Samp117		L1	27	Run1	2019	WC	Community_19	25	Illumina MiSeq sequencing	D027
Samp118		L2	27	Run1	2019	WC	Community_20	25	Illumina MiSeq sequencing	D027
Samp119		L3	27	Run1	2019	WC	Community_21	25	Illumina MiSeq sequencing	D027
Samp120		L4	27	Run1	2019	WC	Community_22	25	Illumina MiSeq sequencing	D027
Samp121		L5	27	Run1	2019	WC	Community_23	25	Illumina MiSeq sequencing	D027
Samp122		R	27	Run1	2019	WC	Community_24	25	Illumina MiSeq sequencing	D027
Samp123		L1	34	Run1	2019	WC	Community_25	25	Illumina MiSeq sequencing	D034
Samp124		L2	34	Run1	2019	WC	Community_26	25	Illumina MiSeq sequencing	D034
Samp125		L3	34	Run1	2019	WC	Community_27	25	Illumina MiSeq sequencing	D034
Samp126		L4	34	Run1	2019	WC	Community_28	25	Illumina MiSeq sequencing	D034
Samp127		L5	34	Run1	2019	WC	Community_29	25	Illumina MiSeq sequencing	D034
Samp128		R	34	Run1	2019	WC	Community_30	25	Illumina MiSeq sequencing	D034
Samp129		L2	44	Run1	2019	WC	Community_31	25	Illumina MiSeq sequencing	D044
Samp130		L5	44	Run1	2019	WC	Community_32	25	Illumina MiSeq sequencing	D044
Samp131		L1	47	Run1	2019	WC	Community_33	25	Illumina MiSeq sequencing	D047
Samp132		L2	47	Run1	2019	WC	Community_34	25	Illumina MiSeq sequencing	D047
Samp133		L3	47	Run1	2019	WC	Community_35	25	Illumina MiSeq sequencing	D047
Samp134		L4	47	Run1	2019	WC	Community_36	25	Illumina MiSeq sequencing	D047
Samp135		L5	47	Run1	2019	WC	Community_37	25	Illumina MiSeq sequencing	D047
Samp136		R	47	Run1	2019	WC	Community_38	25	Illumina MiSeq sequencing	D047
Samp137		L1	48	Run1	2019	WC	Community_39	25	Illumina MiSeq sequencing	D048
Samp138		L2	48	Run1	2019	WC	Community_40	25	Illumina MiSeq sequencing	D048
Samp139		L3	48	Run1	2019	WC	Community_41	25	Illumina MiSeq sequencing	D048
Samp140		L4	48	Run1	2019	WC	Community_42	25	Illumina MiSeq sequencing	D048
Samp141		L5	48	Run1	2019	WC	Community_43	25	Illumina MiSeq sequencing	D048
Samp142		R	48	Run1	2019	WC	Community_44	25	Illumina MiSeq sequencing	D048
Samp143		L1	55	Run1	2019	WC	Community_45	25	Illumina MiSeq sequencing	D055
Samp144		L2	55	Run1	2019	WC	Community_46	25	Illumina MiSeq sequencing	D055
Samp145		L3	55	Run1	2019	WC	Community_47	25	Illumina MiSeq sequencing	D055
Samp146		L4	55	Run1	2019	WC	Community_48	25	Illumina MiSeq sequencing	D055
Samp168		R	107	Run2	2019	WC	Community_96	25	Illumina MiSeq sequencing	D107
Samp41		L5	55	Run2	2019	WC	Community_49	25	Illumina MiSeq sequencing	D055
Samp42		R	55	Run2	2019	WC	community_50	25	Illumina MiSeq sequencing	D055
Samp43		L3	61	Run2	2019	WC	community_51	25	Illumina MiSeq sequencing	D061
Samp44		L5	61	Run2	2019	WC	community_52	25	Illumina MiSeq sequencing	D061
Samp45		L1	64	Run2	2019	WC	Community-53	25	Illumina MiSeq sequencing	D064
Samp46		L2	64	Run2	2019	WC	Community-54	25	Illumina MiSeq sequencing	D064
Samp47		L3	64	Run2	2019	WC	Community-55	25	Illumina MiSeq sequencing	D064
Samp48		L4	64	Run2	2019	WC	Community-56	25	Illumina MiSeq sequencing	D064
Samp49		L5	64	Run2	2019	WC	Community-57	25	Illumina MiSeq sequencing	D064
Samp50		R	64	Run2	2019	WC	Community-58	25	Illumina MiSeq sequencing	D064
Samp51		L1	65	Run2	2019	WC	Community-59	25	Illumina MiSeq sequencing	D065
Samp52		L2	65	Run2	2019	WC	Community-60	25	Illumina MiSeq sequencing	D065
Samp53		L3	65	Run2	2019	WC	Community-61	25	Illumina MiSeq sequencing	D065
Samp54		L4	65	Run2	2019	WC	Community-62	25	Illumina MiSeq sequencing	D065
Samp55		L5	65	Run2	2019	WC	Community-63	25	Illumina MiSeq sequencing	D065
Samp56		R	65	Run2	2019	WC	Community-64	25	Illumina MiSeq sequencing	D065
Samp57		L1	72	Run2	2019	WC	Community-65	25	Illumina MiSeq sequencing	D072
Samp58		L2	72	Run2	2019	WC	Community-66	25	Illumina MiSeq sequencing	D072
Samp59		L3	72	Run2	2019	WC	Community-67	25	Illumina MiSeq sequencing	D072
Samp60		L4	72	Run2	2019	WC	Community-68	25	Illumina MiSeq sequencing	D072
Samp61		L5	72	Run2	2019	WC	Community-69	25	Illumina MiSeq sequencing	D072
Samp62		R	72	Run2	2019	WC	Community-70	25	Illumina MiSeq sequencing	D072
Samp63		L1	89	Run2	2019	WC	Community-71	25	Illumina MiSeq sequencing	D089
Samp64		L2	89	Run2	2019	WC	Community-72	25	Illumina MiSeq sequencing	D089
Samp65		L3	89	Run2	2019	WC	Community-73	25	Illumina MiSeq sequencing	D089
Samp66		L4	89	Run2	2019	WC	Community-74	25	Illumina MiSeq sequencing	D089
Samp67		L5	89	Run2	2019	WC	Community-75	25	Illumina MiSeq sequencing	D089
Samp68		R	89	Run2	2019	WC	Community-76	25	Illumina MiSeq sequencing	D089
Samp69		L1	90	Run2	2019	WC	Community-77	25	Illumina MiSeq sequencing	D090
Samp70		L2	90	Run2	2019	WC	Community-78	25	Illumina MiSeq sequencing	D090
Samp71		L3	90	Run2	2019	WC	Community-79	25	Illumina MiSeq sequencing	D090
