""	"Samp01"	"Samp02"	"Samp03"	"Samp04"	"Samp05"	"Samp06"	"Samp07"	"Samp08"	"Samp09"	"Samp10"	"Samp11"	"Samp12"	"Samp13"	"Samp14"	"Samp15"	"Samp154"	"Samp155"	"Samp156"	"Samp157"	"Samp158"	"Samp159"	"Samp16"	"Samp160"	"Samp161"	"Samp162"	"Samp163"	"Samp164"	"Samp165"	"Samp166"	"Samp167"	"Samp17"	"Samp18"	"Samp19"	"Samp20"	"Samp21"	"Samp22"	"Samp23"	"Samp24"	"Samp25"	"Samp26"	"Samp27"	"Samp28"	"Samp29"	"Samp34"	"Samp35"	"Samp36"	"Samp37"	"Samp38"	"Samp39"	"Samp40"	"Samp88"	"Samp89"	"Samp90"	"Samp91"
"ASV0081"	0.000169104591189651	0.003125	0	0	0.000254755434782609	8.42886041807148e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000421265481506445	0	0	0	0	0	0	0	0	0.00118243243243243	0	0	0	0	0.0145161290322581	8.52151682999574e-05	0.00281449893390192	0.101390301797219	0	0.00378405650857719	0	0	0.00161399932042134	0	0	0.000169161803264823	0	0	0.000338696020321761	0	0	0	8.43810648890389e-05
"ASV0089"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00109197816043679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0092"	0.000760970660353429	0	0.00238216777267313	0	0.00356657608695652	0	0	0	0.000168335998653312	0	0	8.43739453256834e-05	8.40972163821378e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00546677880571909	0	0.000671986560268795	0	0	0	0	0	0	0	0	0	0	0	0	0.00168747890651367	0.000934420659191301	0	0	8.45809016324114e-05	0	0	0	0.000170068027210884	0.00202582932387946	0	0.000506286389334233
"ASV0105"	0	0	0	0	0	0	0	0	0	0.0010136847440446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000594631328576283	0	0	0	0	0	0	0	0	0	0
"ASV0107"	0	0	0	8.53752241099633e-05	0.000509510869565217	0	0	0	0	0	0	0.000421869726628417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344036697247706	0	0	0	0	0	0	0	0.00464252553389044	0	0
"ASV0108"	0	0	0.00459418070444104	0	0	0	0	0	0	0.000168947457340767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0115"	0	0	0.000255232261357836	0	0.000509510869565217	0	0	0	0.000168335998653312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0103885135135135	0.000168747890651367	0.000168236877523553	0	0	0	0	0	0.00127161749745677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0119"	0.00279022575462924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00364530349270939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0123"	0	0	8.50774204526119e-05	0	0	0	0	0	0	0.000337894914681534	0	0.000928113398582518	0	0	0	0	0	0	0	0	0	0	0	0	0.000587692049366132	0	0	0	0	0	0	0	0	0	0	0	0	0.00528784648187633	0.0116141064767718	0	0.00134544231416078	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0132"	0.00109917984273273	0	0	0	0	0.000252865812542144	0	0	8.4167999326656e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000167996640067199	0	0.000506243671954101	0.000420592193808883	0	0	0	0.00144865786109928	0	0	0.000338638672536404	0	0.000592166483377041	0.00126560917988525	0.000849473326537547	0	0.000588631012445341	0	0	0	0	0.000850340136054422	0.000506457330969866	0	0
"ASV0202"	0.00769425889912911	0	0	0.000683001792879706	0.000509510869565217	0.00345583277140931	0	0	0.000168335998653312	0	0	0.00168747890651367	0	0.00033661533282841	0.00050564638462835	0	0	0	0.000419780035261523	0	0	0	0	0	0	0	0	0	0	0	0.000253378378378378	0.000843739453256834	0	0.00168166148154377	0	0	0.0103110353642948	0	0	0.0131222485607856	0	0	0	0.174057084607543	0	0	0.000169161803264823	0	0	0.0104995766299746	0.00408163265306122	0	0.000168990283058724	0.000421905324445194
"ASV0221"	0.00135283672951721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110779718789945	0	0	0.00237047070775483	0	0	0.0025312183597705	0	0	0	0	0	0	0	0.000595238095238095	0	0	0
"ASV0222"	0.356979792001353	0.0210304054054054	0.661391866598605	8.53752241099633e-05	0.000849184782608696	0.00016857720836143	0.000252589037635767	0	8.4167999326656e-05	0.000168947457340767	0.000673343994613248	8.43739453256834e-05	0.00075687494743924	0	0.000168548794876117	0	0	0	0	0	0	0	0	0	0	0	0	0.00344827586206897	0	0	0	0.0649679379007762	0.000672947510094213	0	0.000335908632851864	0.12402376910017	0.345632722624627	0.0229424307036247	0.131739572736521	0.389265154080596	0.104944500504541	0.166652567464681	0.411829227134661	0	0.000337154416722859	0	0.00439820688488539	0.00109252878393142	0.00596588521972943	0.0204064352243861	0.150255102040816	0	0	0
"ASV0254"	0	0	0	0	0	0.00016857720836143	0	0	0.000505007995959936	0	0	0	0	0	0.00160121355132311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025312183597705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.46740050804403e-05	0	0	0	0
"ASV0263"	0.000169104591189651	0	0	0	0	0	0	0	0.000757511993939904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162046908315565	0.0878263818243472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0274"	0.011160903018517	0.000337837837837838	0.000170154840905224	0	0.0247961956521739	0	0.000505178075271533	0.00387270584273447	0.000589175995286592	0.0020273694880892	0.00353505597171955	0	0.00681187452695316	0.000168307666414205	0.000252823192314175	0.989423319063208	0	0.995802199647385	0.00394593233145832	0.99857238831038	0.0013455554621142	0.982728115258236	0.996137050722203	0.988413098236776	0.373016539333389	0.998486122792262	0.995624737063525	0.000336417157275021	0.977417730020148	0.967996640067199	0.000844594594594595	0.00025312183597705	0.000336473755047106	0	0.985891837420222	0.016383701188455	0.00553898593949723	0.00264392324093817	0.0578162088843676	0.00618015577378937	0.00109317188025563	0.000253785635733018	0.00337495781302734	0.00399252463472647	0.00143290627107215	0.96501849983182	0.96422227860949	0.991932095134045	0.987732123350979	0.000592718035563082	0.00357142857142857	0	0	0.00362838579022867
"ASV0281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000923981520369593	0	0	0	0	0	0	0	0.0360767590618337	0.00220413699559173	0	0.000588631012445341	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0293"	0	0	0	0.000170750448219927	0	0	0	0	0	0	0.000252503997979968	0.00329058386770165	0	0.000420769166035513	0.000252823192314175	0	0	0	0	0	0	0	0	0	0.000503736042313828	0	0	0	0	0	0	0.0010124873439082	0	0	8.39771582129661e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00433673469387755	0	0	0
"ASV0308"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221748400852878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40830740771883e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508044030482642	0.000425170068027211	0	0	0
"ASV0350"	0.000930075251543079	0.00135135135135135	0.000595541943168283	0.0135746606334842	0.00178328804347826	0.00404585300067431	0.0294687210575061	0.000841892574507493	0	0.0117418482851833	0.00690177594478579	0.149510631117111	0	0.0031136918286628	0.00716332378223496	0	0	0	0	0	0.118156589016904	0	0	0	0.00344219628914449	0	0	0	0.00184687709872398	0.000755984880302394	0.000253378378378378	0.0125717178535268	0	0	0.000587840107490763	0.000509337860780985	0.00230080954409885	0.000767590618336887	0.00186503899626992	0	0.00168180289270098	0	0.000168747890651367	0.00212368331634387	0.000421443020903574	0.00126135216952573	0.000422904508162057	0.00033616270274813	0	0	0.00671768707482993	0.000422047775808221	0.00261934938741022	0.00075942958400135
"ASV0379"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000928113398582518	0	8.40830740771883e-05	0	0	0	0	0.00890132248219735	0.000761937013206908	0	0.000761356907199053	0.0015187310158623	0	0	0	0	0	0	0	0.00374149659863946	0	0	0
"ASV0394"	0.00118373213832756	0	0.000340309681810448	0	0	0	0	0.00210473143626873	0.00117835199057318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.39630562552477e-05	0	0	0	0	0	0	0	8.43739453256834e-05	0	0	0	0	0	0	0	0	8.40901446350488e-05	0.00211488029777515	0	0	0	0	0.000253742704897234	0	0	0.000423370025402202	0.00076530612244898	0.00059086688613151	0.000591465990705534	0
"ASV0417"	0	0	0	0	0.000509510869565217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000937366851299531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0428"	0	0	0	0	0	0	0.000252589037635767	0	0	0.00397026524750803	0.00260920797912634	0.000421869726628417	0.0013455554621142	0.000168307666414205	0.000842743974380583	0	0	0	0	0	0	0.000168506192602578	0	0	0	0	0	0.00403700588730025	0	0	0.000253378378378378	0	0	0	0	0	0	0	0	0	0	0	0	0.000849473326537547	0.00303438975050573	0.0032795156407669	0	0	0	0	0	0.00135055288258631	0	0
"ASV0433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00169779286926995	0	0.00690831556503198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0436"	0	0	0	0	0	0	0	0	0	8.44737286703835e-05	0	8.43739453256834e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185622679716504	8.41184387617766e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000169348010160881	0.00110544217687075	0	0	0
"ASV0474"	0.00219835968546546	0	0	0	0.000169836956521739	8.42886041807148e-05	0	0	0	0	8.4167999326656e-05	0	0	0.000757384498863923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.40830740771883e-05	0	0	0	0.00102345415778252	0	0	0.000756811301715439	0	0	0.000509683995922528	0	0.000252270433905146	0	0.000168081351374065	0	0	0.000255102040816327	0	0	0.000253143194667117
"ASV0487"	0	0	0	0.00332963374028857	0.000849184782608696	0.000505731625084289	0	0	0.000252503997979968	0	0	0.0111373607829902	0	0	0	0	0	0	0	0	0	0	0	0	0.000503736042313828	0	0	0	0	8.39983200335993e-05	0.000253378378378378	0	0	0	0	0	0	0	0	0	0	0	0	0.00110431532449881	0	0	0.000169161803264823	0	0	0	0	0	0	0.000337524259556156
"ASV0498"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00279755849440488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0506"	0.0049885854400947	0.00109797297297297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108842389470132	0	0	0	0.0106112054329372	0	0.0017910447761194	0.00262800949474398	0	0	0	0	0.000509683995922528	0.00101146325016858	0	0.00169161803264823	0	0	0.000592718035563082	0.00986394557823129	0	0	0
"ASV0507"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110779718789945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0522"	0	0	0	0	0.000594429347826087	0	0	0	0	0.000168947457340767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00093816631130064	0.00559511698880977	0	0	0	0	0.00169894665307509	0	0	0	0	0	0.000254022015241321	0	0	0	0
"ASV0524"	0	0	0	0	0.000254755434782609	8.42886041807148e-05	0	0.000757703317056744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.46596681341009e-05	0.00554994954591322	0	0	0.000509683995922528	0	0	0	0	0	0	0	0	0	0
"ASV0548"	0	0	0.000340309681810448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000760456273764259	0
"ASV0559"	0	0	0.0021269355113153	0.00230513105096901	0.0213994565217391	0.00362440997977074	0	0.0661727563562889	0.00597592795219258	0.000506842372022301	0.00084167999326656	0.0122342220722241	0	0.000757384498863923	0.00438226866677903	0	0.82273376459716	0.00209890017630761	0.701536394929057	0	0	0.000421265481506445	0	0	0.00268659222567375	0	0	0	0.00335795836131632	0	8.44594594594595e-05	0	0.918741588156124	0.795089548473892	0.000167954316425932	0	0	0	0	0	0.00100908173562059	0.00152271381439811	0.000421869726628417	0.0819741760108733	0	0.00193407332660612	0	0	0.000336106209562222	0.000423370025402202	0	0.00717481218873977	0.000168990283058724	0.141844570078474
