""	"Samp100"	"Samp101"	"Samp102"	"Samp103"	"Samp104"	"Samp105"	"Samp106"	"Samp107"	"Samp108"	"Samp109"	"Samp110"	"Samp111"	"Samp112"	"Samp113"	"Samp114"	"Samp115"	"Samp116"	"Samp117"	"Samp118"	"Samp119"	"Samp120"	"Samp121"	"Samp122"	"Samp123"	"Samp124"	"Samp125"	"Samp126"	"Samp127"	"Samp128"	"Samp129"	"Samp130"	"Samp131"	"Samp132"	"Samp133"	"Samp134"	"Samp135"	"Samp136"	"Samp137"	"Samp138"	"Samp139"	"Samp140"	"Samp141"	"Samp142"	"Samp143"	"Samp144"	"Samp145"	"Samp146"	"Samp168"	"Samp41"	"Samp42"	"Samp43"	"Samp44"	"Samp45"	"Samp46"	"Samp47"	"Samp48"	"Samp49"	"Samp50"	"Samp51"	"Samp52"	"Samp53"	"Samp54"	"Samp55"	"Samp56"	"Samp57"	"Samp58"	"Samp59"	"Samp60"	"Samp61"	"Samp62"	"Samp63"	"Samp64"	"Samp65"	"Samp66"	"Samp67"	"Samp68"	"Samp69"	"Samp70"	"Samp71"	"Samp72"	"Samp73"	"Samp74"	"Samp75"	"Samp76"	"Samp77"	"Samp78"	"Samp79"	"Samp80"	"Samp81"	"Samp82"	"Samp83"	"Samp84"	"Samp85"	"Samp86"	"Samp87"	"Samp99"
"ASV0021"	0.000591565959604496	0	0.000252567772352248	0.000337182837393577	0.000253549695740365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000425097772487672
"ASV0037"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00210190011770641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0056"	0	0	0	0	0	0	0	0	0.000170068027210884	0	8.41609156707625e-05	0	0	0	0.00117805452709525	0	0	0	0	0	0.000757958564931784	0	0.00025235531628533	0	0.000251994960100798	0	0	0	8.40548037320333e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000591615956727519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0057"	0.42761767937125	0.436546083143604	0.441656844586631	0.431594031863778	0.431203515889114	0.00219483369913895	0.00187043019894576	0.000592366929000592	0.000850340136054422	0.00136112292641429	0.00218818380743982	0.00370121130551817	8.4005376344086e-05	0.00126008064516129	0.00143049478290138	0.00707427993936331	0.00193586398451309	0.00311055065153426	0.00100891205649908	0.000420415370385941	0.00227387569479535	0.00405302710461876	0.00117765814266487	0.00134408602150538	0.00159596808063839	0.00277707649583439	0.0013452160753321	0.00949579831932773	0.00210137009330083	0.000756048387096774	0.0053835800807537	0.00277590847913863	0.00109252878393142	0.00184780782798589	0.00286026751913855	0.0111915180074049	0.00126114007062384	0.000588977702986958	0.000420132761952777	0.00134442483824889	0.00151311365164761	0.0080712964519926	0.000929682217714672	0.00117617407376292	0.000672155940178121	0.000335908632851864	0.00134532918523501	0	0.000503651473180559	0	0	0	0	0	0	0	0.000336077970089061	0	0	0.00184765264130344	0	0.000252270433905146	0.000504201680672269	0.000336106209562222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168095478231636	0	0	0	0.000167954316425932	0	0	0	0	0.00142713230355944	0	0.566315252508077
"ASV0115"	0.057635426350038	0.0676279618854878	0.063815457147668	0.0681109331535025	0.0540906017579446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0390239755143683
"ASV0172"	0	0	0	0	0	0.000337666722944454	0.000425097772487672	0.363713294406364	0.0141156462585034	0.00765631646108039	0.115300454468945	0.00841184387617766	0.000252016129032258	0.310399865591398	0.306294177044766	0	0.0402323036781416	0.0450609499789828	0.00117706406591559	0.26225510804675	0.287350513727472	0.000422190323397788	0.0487045760430686	0	0	0.000252461499621308	0.000588532032957794	0.00151260504201681	0.000588383626124233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0202"	0	0	0	0	0	0	0	0	0	0	0	0	0.000336021505376344	0	0.00176708179064288	8.42176183257538e-05	0.000252503997979968	0	0.00100891205649908	0	0.00210544045814384	0.000168876129359115	0.00100942126514132	8.4005376344086e-05	0.000167996640067199	0	0.00243820413653943	0.000168067226890756	0.00109271244851643	0	0.000168236877523553	0	0.000168081351374065	0.000167982529816899	0.00773954740472785	0.000336587007741501	0.000168152009416513	8.41396718552798e-05	8.40265523905554e-05	0	0.00193342299932751	0.000756684042374306	0.000338066260987153	0.0010081492060825	0.00176440934296757	0.00117568021498153	0.00168166148154377	0	0.00159489633173844	0.000504201680672269	0.00470469629505167	0.00613496932515337	0.00756238971514999	0.00252185608607935	0.00193423597678917	0.00495965030262273	0.00445303310368005	0.00134419894144333	0.00562741474886612	0.00235155790711346	0.0036128381784574	0.00554994954591322	0.00394957983193277	0.00344508864801277	0.00588433086751849	0.00377897211958347	0.00310637226093527	0.00335936843873352	0.00445303310368005	0.00277124622102788	0.00117518677075464	0.000755540631296172	0.000587988240235195	0.000587593385377319	0.00159865376525032	0.00083948959032908	0.00126177658142665	0.000672043010752688	0	0.000503862949277796	0.000757129637419029	0	0.000504413619167718	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0203"	0	0	0	0	0	0.000422083403680567	0.00289066485291617	0.00499280697300499	0.0048469387755102	0.00144619310931519	0.00462885036189194	0.00563593539703903	0	0.158602150537634	0.0328172332547964	0.000505305709954523	0.0621159835030721	0.00302648171500631	0.0026904321506642	0.226183469267636	0.0263601145359609	0.00548847420417124	0.0447510094212651	0.00646841397849462	0.00243595128097438	0.0127913826474796	0.00201782411299815	0.00470588235294118	0.00563167185004623	0	0.0014300134589502	0.00134589502018843	0	0	0.00100950618322537	0.00479636486031639	0.00142929208004036	0.00117795540597392	0	0.000420132761952777	0.000504371217215871	0.00369934420716328	0.000845165652467884	0	0	0	0.000420415370385941	0.0209138249622039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252206809583859	0	0	0	0	0	0.00159556600604636	0	0	0	0.0117548278757347	0.158327736736064	0.0197412634408602	0
"ASV0222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00218450680557889	0	0	0.00134386023853519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115168303533955	0.134570181329752	0.0713145737085258	0.091916393855452	0.0475389145982331	0.0834452652787105	0.0326379542395693	0.0886256720430108	0.089509548245983	0.146204232448774	0.121561369563389	0.103291904601948	0	0.0167226890756303	0	0	0	0	0	0	0	0.00738936938449912	0	0	0	0
"ASV0254"	0	0	0	0	0	8.44166807361135e-05	0	0	0	8.50701829008932e-05	8.41609156707625e-05	0	0	0	0.000168293503870751	0.000168435236651508	0	0	0	0	0.000168435236651508	0	0.00025235531628533	0	0	0	0.00067260803766605	0.000252100840336134	0.000336219214928133	0.000588037634408602	0	8.41184387617766e-05	0.000588284729809228	0.000671930119267596	0.000252376545806343	0	0	0	0	0.000420132761952777	0.000420309347679892	8.40760047082563e-05	0.000338066260987153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
