""	"Samp01"	"Samp02"	"Samp03"	"Samp04"	"Samp05"	"Samp06"	"Samp07"	"Samp08"	"Samp09"	"Samp10"	"Samp11"	"Samp12"	"Samp13"	"Samp14"	"Samp15"	"Samp154"	"Samp155"	"Samp156"	"Samp157"	"Samp158"	"Samp159"	"Samp16"	"Samp160"	"Samp161"	"Samp162"	"Samp163"	"Samp164"	"Samp165"	"Samp166"	"Samp167"	"Samp17"	"Samp18"	"Samp19"	"Samp20"	"Samp21"	"Samp22"	"Samp23"	"Samp24"	"Samp25"	"Samp26"	"Samp27"	"Samp28"	"Samp29"	"Samp34"	"Samp35"	"Samp36"	"Samp37"	"Samp38"	"Samp39"	"Samp40"	"Samp88"	"Samp89"	"Samp90"	"Samp91"
"ASV0144"	0.00160649361630168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.43739453256834e-05	0	0.000420415370385941	0	0	0.000681721346399659	0	0	0.00253979004402303	0	0	0.000168747890651367	0	0	0	0.000253742704897234	0	0	0.000423370025402202	0.00119047619047619	0	0	0
"ASV0187"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00434968017057569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0222"	0.595501817874355	0.0345439189189189	0.781521184277693	0.00725689404934688	0.279296875	0.0207349966284558	0.00277847941399343	0.916568445866307	0.701456106388351	0.00388579151883764	0.00303004797575962	0.0306277421532231	0.0591203431166428	0.00454430699318354	0.0350581493342323	0	0.892464084684533	0.00209890017630761	0.767022080429855	0	0.00185013876040703	0.00286460527424383	0	0.00486985726280437	0.132566535135589	0	0.000588977702986958	0.453322119428091	0.00352585627938214	0.00613187736245275	0.0290540540540541	0.0933175835302059	0.930265814266487	0.814344572437568	0.00268726906281491	0.158404074702886	0.518619514273541	0.0602985074626866	0.27636486944727	0.65628174737555	0.207450386814665	0.207342864393875	0.558218022274722	0.479782534828406	0.0751011463250169	0.00546585940127817	0.0113338408187431	0.00142869148667955	0.00747836316275943	0.0841659610499577	0.224319727891156	0.517261754030556	0.00481622306717364	0.346215509239727
"ASV0274"	0.25407964826245	0.0651182432432433	0.165986047303046	0.0136600358575941	0.126528532608696	0.019217801753203	0.0491706659930959	0.0753493854184206	0.292147125662823	0.00844737286703835	0.0084167999326656	0.0447181910226122	0.910772853418552	0.0200286123032904	0.220209000505646	0.999076638965836	0.0988826346299252	0.997481319788431	0.224666274871967	0.999412159892509	0.0290976368682197	0.987783301036313	0.999664091367148	0.994206549118388	0.432457392326421	1	0.998990323937737	0.510176619007569	0.981950973807925	0.973288534229315	0.0585304054054054	0.235487681403982	0.0586305518169583	0.177751618599176	0.990930466913	0.0702886247877759	0.185257775884107	0.0633688699360341	0.183621566632757	0.281493396545886	0.148419105280861	0.0631926232975214	0.398413769827877	0.388718994223581	0.222690492245448	0.978893373696603	0.96912797090417	0.994033112026221	0.990000840265524	0.849110922946655	0.261904761904762	0.440364649278298	0.00633713561470215	0.632942367732681
"ASV0281"	0.00177559820749133	0	0	0	0	0.000590020229265003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000337012385205156	0	0	0	0	0	0	0	0.000923981520369593	0	0	0	0	0	0.00696095076400679	0	0.0612366737739872	0.0145812139708376	0.000677277345072807	0.0131180625630676	0	0	0	0	0	0	0	0	0	0	0	0.00143641740599916	0
"ASV0379"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000928113398582518	0	8.40830740771883e-05	0	0	0	0	0.00890132248219735	0.000761937013206908	0	0.000761356907199053	0.0015187310158623	0	0	0	0	0	0	0	0.00374149659863946	0	0	0
"ASV0498"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00279755849440488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0507"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110779718789945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0548"	0	0	0.000340309681810448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000760456273764259	0
"ASV0582"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000762066045723963	0.00119047619047619	0	0	0
