""	"Samp100"	"Samp101"	"Samp102"	"Samp103"	"Samp104"	"Samp105"	"Samp106"	"Samp107"	"Samp108"	"Samp109"	"Samp110"	"Samp111"	"Samp112"	"Samp113"	"Samp114"	"Samp115"	"Samp116"	"Samp117"	"Samp118"	"Samp119"	"Samp120"	"Samp121"	"Samp122"	"Samp123"	"Samp124"	"Samp125"	"Samp126"	"Samp127"	"Samp128"	"Samp129"	"Samp130"	"Samp131"	"Samp132"	"Samp133"	"Samp134"	"Samp135"	"Samp136"	"Samp137"	"Samp138"	"Samp139"	"Samp140"	"Samp141"	"Samp142"	"Samp143"	"Samp144"	"Samp145"	"Samp146"	"Samp168"	"Samp41"	"Samp42"	"Samp43"	"Samp44"	"Samp45"	"Samp46"	"Samp47"	"Samp48"	"Samp49"	"Samp50"	"Samp51"	"Samp52"	"Samp53"	"Samp54"	"Samp55"	"Samp56"	"Samp57"	"Samp58"	"Samp59"	"Samp60"	"Samp61"	"Samp62"	"Samp63"	"Samp64"	"Samp65"	"Samp66"	"Samp67"	"Samp68"	"Samp69"	"Samp70"	"Samp71"	"Samp72"	"Samp73"	"Samp74"	"Samp75"	"Samp76"	"Samp77"	"Samp78"	"Samp79"	"Samp80"	"Samp81"	"Samp82"	"Samp83"	"Samp84"	"Samp85"	"Samp86"	"Samp87"	"Samp99"
"ASV0274"	0.00338037691202569	0.00210810355004638	0.00126283886176124	0.00109584422152912	0.00160581473968898	0.606280601046767	0.258459445672505	0.165016501650165	0.29906462585034	0.63717566992769	0.425770072378387	0.31864064602961	0.613911290322581	0.270077284946237	0.324974755974419	0.347818763685363	0.430098476559212	0.193947036569987	0.551286362872036	0.313629866307912	0.374431531076301	0.34349404711644	0.438172947510094	0.0793010752688172	0.672994540109198	0.282083648910208	0.151925340507819	0.309243697478992	0.27696057829705	0.514952956989247	0.0725942126514132	0.0909320323014805	0.247583830573998	0.226020493868638	0.1193741061664	0.133961629081117	0.229695644862956	0.0499789650820362	0.153180405007983	0.161162927485085	0.108523873570948	0.251303178072978	0.132014874915483	0.110896412669075	0.14762224836162	0.11664427275781	0.115109728411671	0.173273979506131	0.149332661798036	0.147731092436975	0.0946820129379148	0.0953861669047819	0.104613057726241	0.106422326832549	0.0987301320326297	0.11600537995965	0.0929255587296253	0.0893052171721415	0.0987737275323366	0.105820105820106	0.0951940850277264	0.140094180961991	0.229579831932773	0.146542307369129	0.229488903833221	0.202216996976822	0.185962555620855	0.221718316956412	0.159973113762393	0.185673496808868	0.314362461176866	0.333865010073875	0.239311213775725	0.203475195164946	0.207151872107699	0.212558764271323	0.220222072678331	0.200016801075269	0.169008160174981	0.170053745381256	0.188861781778413	0.19054417198522	0.308532997057587	0.57672268907563	0.343335014288116	0.304504958816608	0.264187374076561	0.311497438481565	0.328770574403762	0.384286074036767	0.180420168067227	0.0997564866907381	0.0805205709487825	0.118200134318334	0.141381048387097	0
"ASV0335"	0.000591565959604496	0	0.000252567772352248	0.000337182837393577	0.000253549695740365	0	0.0022105084169359	0.00135398155200135	0.00170068027210884	0.0012760527435134	0.000252482747012287	0	0	0	0.000336587007741501	0	0	0	0	8.40830740771883e-05	0.00269496378642412	0	0.00025235531628533	0.000168010752688172	0.000419991600167997	0.000168307666414205	0.00193374810828989	0.000588235294117647	0.000336219214928133	0.000168010752688172	0.000336473755047106	0.00370121130551817	0.000420203378435163	0.000251973794725349	0.000588878606881467	0.00159878828677213	0.00193374810828989	0.000673117374842238	0.000588185866733888	0.000336106209562222	0.000420309347679892	0.00117706406591559	0.000591615956727519	0.000420062169201042	0.000756175432700387	0.000167954316425932	8.40830740771883e-05	0.000419956324542248	0	0	0	0	0.000336106209562222	0	0	0	0	0	0	0	0	0	0	0	0.00151311365164761	0.00117568021498153	0.000755604063470741	0.000167968421936676	0.00184842883548983	0.000923748740342627	0.000671535297574079	0.00083948959032908	0	0.00100730294636112	0.000504838031131679	0	0.00210296096904441	0.00084005376344086	0.000252376545806343	0.00167954316425932	0.000336502061075124	0.000839771582129661	0	0	0	0	0	0	0	0	0	0	0	0.000755540631296172	0	0.000425097772487672
"ASV0482"	0	0	0	0	0	0	0	0	0	0	0	8.41184387617766e-05	0	0	0.0058061258835409	0	0.0013466879892265	8.40689365279529e-05	0	0.000168166148154377	0.0023580933131211	0	0.000672947510094213	0	0	0	0	0	0	0	0.000420592193808883	0.000168236877523553	0	0.000167982529816899	0	0.000925614271289128	0.000756684042374306	0.000252419015565839	0	0.000504159314343333	8.40618695359785e-05	0.000504456028249538	0.000760649087221095	0.000336049735360833	0.000336077970089061	0.00041988579106483	8.40830740771883e-05	0	0.000587593385377319	0	0.000252037301520625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0487"	0	0	0	0	0	0.00177275029545838	0.0103723856486992	0.00727765084200728	0.0111394557823129	0.015142492556359	0.0156539303147618	0.000757065948855989	0.000168010752688172	0	0.000673174015483002	0.000252652854977261	0.00185169598518643	0.00126103404791929	0.000168152009416513	0	0.000842176183257537	0.000844380646795575	0.00227119784656797	0.0036122311827957	0.00209995800083998	0.000252461499621308	0.00218597612241466	0.000840336134453782	0.00168109607464067	0.000336021505376344	0.046685733512786	0.0104306864064603	0.00663921337927557	0.000167982529816899	0.00159838479010684	0.0106024907438573	0.0133680847486127	0.0136306268405553	0.002268716914545	0.00126039828585833	0.00218560860793544	0.00361526820245502	0.0173258958755916	0.00663698227337646	0.00226852629810116	0.00369499496137051	0.00756747666694694	0.00344364186124643	0.00495257281960883	0.00478991596638655	0.00546080819961354	0.00260526094629801	0.00100831862868667	0	0	0.000840618695359785	0.0019324483280121	0	0.000587938854359147	0	0.00319274071584608	0.00142953245879583	0.00109243697478992	0.00151247794303	0.000504371217215871	0.00218340611353712	0.00109142809167996	0.00218358948517679	0.00151235086540077	0.00352704064494458	0.0101569713758079	0.0041974479516454	0.00655186896262075	0.00486863090741207	0.00824568784181742	0.0041974479516454	0.00639300134589502	0.00873655913978495	0.00992681080171616	0.00613033254954652	0.00454277782451418	0.0052065838092039	0.00109289617486339	0	0	0.000504286434694907	0	0.000503905265810028	0	0	0.00579831932773109	0.00428247543874381	0.000335852225020991	0.00268636668905306	0	0
"ASV0559"	0.785008028395166	0.776793996121089	0.781444687657855	0.77796510157633	0.78000338066261	0.101300016883336	0.178200986226832	0.379284082254379	0.225170068027211	0.0954487452148022	0.204595185995624	0.34564266487214	0.0388104838709677	0.381972446236559	0.288539212386402	0.354977261243052	0.313946637488427	0.310718789407314	0.0557423911215739	0.364752375346843	0.236567289877042	0.318584818035971	0.243522880215343	0.109543010752688	0.0799664006719866	0.154758899267862	0.129561123255423	0.177478991596639	0.121207026981592	0.0845934139784946	0.119616419919246	0.185817631224764	0.232876712328767	0.196455568620863	0.228484899470009	0.262032985526759	0.187657642508828	0.166933108960875	0.191832619107638	0.227291824216452	0.202925353059852	0.245081553724567	0.209770114942529	0.0760312526253886	0.130146193916989	0.105307356399059	0.0707138652989153	0.257013270619856	0.0756316628892806	0.0542857142857143	0.119297656053096	0.114295318934364	0.194269389126964	0.160894418291863	0.212093179715751	0.190652320107599	0.226684590825071	0.26615139040578	0.17008231143961	0.18694885361552	0.221223323811124	0.197611839892365	0.230588235294118	0.217208637929586	0.158624747814391	0.138898219684246	0.152799932835194	0.143193079701016	0.154595866240968	0.193147463889822	0.145723159573575	0.168989254533244	0.137421251574968	0.147821707378494	0.113083718973496	0.130624580255205	0.0964838492597577	0.155157930107527	0.174560444182721	0.195414847161572	0.181626987465298	0.143013100436681	0.0804539722572509	0.203613445378151	0.100437048243402	0.184736930576567	0.0804231027535258	0.143277063911985	0.0564326503191132	0.16242760010073	0.320168067226891	0.24712402384751	0.294122586062133	0.211551376762928	0.354838709677419	0.684917531032137
"ASV0582"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.45165652467884e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000925380667956591	0	0	0	0.000924758301807482	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0643"	0	0	0	0	0	0	0	0.000930862317000931	0	0.000765631646108039	8.41609156707625e-05	0	0	0	0	0	0	0	0	0	0	0	0	8.4005376344086e-05	0.000335993280134397	0.00917276781957418	0.00546494030603666	0.0148739495798319	0.00445490459779776	0.000336021505376344	0	0	0	0.00319166806652108	0	0	0.000168152009416513	0	0	0.0047054869338711	0	0	0	0	8.40194925222652e-05	0	0	0.00722324878212666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000419991600167997	0	0.00016827934371056	0	0.000336473755047106	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0121008403361345	0.0219161978335712	0.0406381192275399	0	0.0133568548387097	0
"ASV0889"	0	0	0	0	0	0.00135066689177782	0.00433599727937426	0.000169247694000169	0.00731292517006803	0	0.00176737922908601	8.41184387617766e-05	0	0	0.000757320767418378	0	0.000336671997306624	8.40689365279529e-05	0	0.000252249222231565	0.000926393801583291	0	0.0010935397039031	0	8.39983200335993e-05	0	0	0	0	0	0	0	0	0	0.0017666358206444	8.41467519353753e-05	0	0	0	8.40265523905554e-05	0.000420309347679892	0	0	0.000420062169201042	0	8.39771582129661e-05	0.000168166148154377	0	0	0	0.00050407460304125	0	0.000504159314343333	0	0	0	0.00252058477566795	0.000840124338402084	0.00142785150344364	0	0.00176440934296757	0.00126135216952573	0.00151260504201681	0.00184858415259222	0.00622057834566241	0	0.000587692049366132	0.00142773158646175	0.00411695513359099	0.00403090359422237	0.00016788382439352	0	0.00100797984040319	0	0.000420698359276399	0.000503693754197448	0.00185060565275908	0.00193212365591398	0.00412215024817027	0	0.00084125515268781	0.000251931474638898	0.00058848255569567	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0894"	0	0	0	0	0	0	0	0	0	0	0	0	0.00344422043010753	0.00319220430107527	0.000841467519353753	0	0.00126251998989984	0	0.0026904321506642	0.00151349533338939	0.000421088091628769	0.000253314194038673	0.0104306864064603	0.000168010752688172	0.00184796304073919	0.00269292266262728	0.000252228014124769	0.000420168067226891	0.0015129864671766	0	0	0	0	0.000251973794725349	0.0017666358206444	0	8.40760047082563e-05	0	0	8.40265523905554e-05	0.00100874243443174	0	0.000169033130493577	8.40124338402084e-05	0	8.39771582129661e-05	0.000252249222231565	0	0	0.000252100840336134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV0945"	0	0	0	0	0	0.00346108391018065	0.00323074307090631	0.0284336125920284	0.0369047619047619	0.0109740535942152	0.0281939067497054	0.00260767160161507	0.00168010752688172	0	0.00925614271289128	0.00741115041266633	0.00235670398114637	0.00302648171500631	0.00100891205649908	0	0.0138116894054236	0.00515072194545301	0.00294414535666218	0.0189012096774194	0.00848383032339353	0.00883615248674577	0.0109298806120733	0.0134453781512605	0.0131966041859292	0.0101646505376344	0.00159825033647375	0.0546769851951548	0.00579880662240524	0.00470351083487317	0.0112728190460167	0.0201952204644901	0.0147973768286531	0.028859907446361	0.00579783211494832	0.0062179648769011	0.00605245460659045	0.0303514376996805	0.0105645706558485	0.0115937158699488	0.0168879179969753	0.0137722539469264	0.0127806272597326	0.00629934486813371	0.017459917736926	0.00983193277310924	0.00319247248592792	0.00302546432473317	0.0062179648769011	0.00294216543375925	0.00605499957951392	0.00521183591123067	0.00630146193916989	0.00184827354448458	0.00713925751721821	0.0031074158058285	0.0036128381784574	0.00395223679784729	0.00453781512605042	0.00235274346693555	0.0247141896435777	0.0225898555592879	0.0224162538829653	0.0188124632569077	0.0258780036968577	0.0191467920725563	0.0016788382439352	0.00167897918065816	0.000335993280134397	0	0	0.00251846877098724	0.00302826379542396	0.00268817204301075	0.00185076133591318	0.00125965737319449	0.00235551442752587	0.00260329190460195	0.00369903320722993	0	0.00210119347789544	0.0136157337367625	0	0.00142773158646175	0.00394692643600941	0.0238395030638798	0.00100840336134454	0.0167100512217651	0.00117548278757347	0	0.0187331989247312	0
