Reactor,Disturbance,RS,DS,RL,E
L1,1,0.523872134,0.047612787,0.057778453,0.006501818
L1,2,0.566719709,0.043328029,0.234252074,0.02741115
L1,3,0.606804634,0.018723589,0.02977182,0.022735409
L1,4,0.437513703,0.05624863,0.193849731,0.016605991
L2,1,0.408729702,0.084467185,0.015327371,0.001622875
L2,2,0.531027307,0.029310793,0,NA
L2,3,0.60513258,0.032905618,0.008829321,0.00069118
L2,4,0.520651055,0.047934895,0.108523224,0.008532317
L3,1,0.46521895,0.059420117,0.022919283,0.002662706
L3,2,0.596876484,0.02519522,0,NA
L3,3,0.596444398,0.026903707,0.136590402,0.013856436
L3,4,0.52143299,0.053174112,0.039232713,0.003011113
L4,1,0.389810396,0.055471782,0.072719706,0.011818507
L4,2,0.587464447,0.041253555,0.139768395,0.016862909
L4,3,0.554669345,0.037110888,0.12096417,0.0096112
L4,4,0.498600363,0.055711071,0.119468653,0.00891815
L5,1,0.493146262,0.033790249,0.006219201,0.002088495
L5,2,0.579713513,0.030020463,0.009782288,0.004071535
L5,3,0.623820693,0.02507862,0.018014078,0.001901889
L5,4,0.504654988,0.049534501,0.087046948,0.007211911
R,1,0.565855564,0.043414444,0.176992591,0.016321332
R,2,0.667264145,0.030248714,0.077627222,0.009587494
R,3,0.59828599,0.026780934,0.011715854,0.00132912
R,4,0.533327071,0.051852548,0.147244067,0.009982592
